id,tracker,year,month,stcode,control,docno,species,othlp,kept,observe,alive,dead,sell,weighed
2003-001301,001301,2003,06,24,1203,01,4931,96,0,9996,5,0,0,9996
2003-001701,001701,2003,06,24,1101,01,4931,96,0,9996,2,0,0,9996
2003-001901,001901,2003,06,24,1105,01,3531,96,1,9996,0,0,0,9996
2003-001901,001901,2003,06,24,1105,01,4821,96,0,9996,6,0,0,9996
2003-003202,003202,2003,06,36,2203,02,4931,96,0,9996,1,0,0,9996
2003-003204,003204,2003,06,36,2203,04,4931,96,0,9996,3,0,0,9996
2003-003205,003205,2003,06,36,2203,05,4841,96,0,9996,6,0,0,9996
2003-003207,003207,2003,06,36,2203,07,4931,96,0,9996,1,0,0,9996
2003-003501,003501,2003,06,24,2105,01,4951,96,0,9996,1,0,0,9996
2003-003503,003503,2003,06,24,2105,03,3551,96,1,9996,0,0,0,9996
2003-003503,003503,2003,06,24,2105,03,4931,96,0,9996,10,0,0,9996
2003-003503,003503,2003,06,24,2105,03,4841,96,0,9996,1,0,0,9996
2003-003504,003504,2003,06,24,2105,04,4841,96,0,9996,1,0,0,9996
2003-003504,003504,2003,06,24,2105,04,3551,96,0,9996,1,0,0,9996
2003-003505,003505,2003,06,24,2105,05,4931,96,0,9996,8,0,0,9996
2003-003703,003703,2003,06,36,1110,03,4931,96,1,9996,0,0,0,9996
2003-003706,003706,2003,06,36,1110,06,3531,96,1,9996,0,0,0,9996
2003-003707,003707,2003,06,36,1110,07,4931,96,0,9996,2,0,0,9996
2003-003708,003708,2003,06,36,1110,08,4931,96,0,9996,1,0,0,9996
2003-003801,003801,2003,06,51,1211,01,3840,SPANISH MACKEREL,7,9996,0,0,0,9996
2003-003801,003801,2003,06,51,1211,01,230,BLUEFISH,5,9996,7,0,0,9996
2003-003801,003801,2003,06,51,1211,01,330,96,4,9996,0,0,0,9996
2003-003901,003901,2003,06,10,1102,01,4931,96,1,9996,20,0,0,9996
2003-004101,004101,2003,06,36,1105,01,3551,96,1,9996,0,0,0,9996
2003-004101,004101,2003,06,36,1105,01,4931,96,0,9996,1,0,0,9996
2003-004102,004102,2003,06,36,1105,02,4931,96,0,9996,1,0,0,9996
2003-004202,004202,2003,06,34,1201,02,4931,96,0,9996,2,0,0,9996
2003-004203,004203,2003,06,34,1201,03,4931,96,0,9996,13,0,0,9996
2003-004204,004204,2003,06,34,1201,04,4951,96,0,9996,2,0,0,9996
2003-004205,004205,2003,06,34,1201,05,4931,96,0,9996,1,0,0,9996
2003-004206,004206,2003,06,34,1201,06,4931,96,0,9996,6,0,0,9996
2003-004207,004207,2003,06,34,1201,07,3531,96,1,9996,0,1,0,9996
2003-004305,004305,2003,06,24,1106,05,4931,96,0,9996,9,0,0,9996
2003-004306,004306,2003,06,24,1106,06,4661,96,0,9996,1,0,0,9996
2003-004701,004701,2003,06,24,2201,01,3531,96,1,9996,0,0,0,9996
2003-004702,004702,2003,06,24,2201,02,4931,96,1,9996,5,0,0,9996
2003-004703,004703,2003,06,24,2201,03,4931,96,1,9996,1,0,0,9996
2003-004704,004704,2003,06,24,2201,04,4931,96,1,9996,8,0,0,9996
2003-004705,004705,2003,06,24,2201,05,4931,96,1,9996,0,0,0,9996
2003-004706,004706,2003,06,24,2201,06,3551,96,1,9996,0,0,0,9996
2003-004706,004706,2003,06,24,2201,06,4931,96,0,9996,4,0,0,9996
2003-004706,004706,2003,06,24,2201,06,4841,96,0,9996,2,0,0,9996
2003-004708,004708,2003,06,24,2201,08,3551,96,1,9996,0,0,0,9996
2003-004708,004708,2003,06,24,2201,08,4931,96,0,9996,1,0,0,9996
2003-004709,004709,2003,06,24,2201,09,4931,96,1,9996,12,0,0,9996
2003-004709,004709,2003,06,24,2201,09,3551,96,0,9996,1,0,0,9996
2003-004710,004710,2003,06,24,2201,10,3551,96,1,9996,0,0,0,9996
2003-004711,004711,2003,06,24,2201,11,3551,96,0,9996,1,0,0,9996
2003-004713,004713,2003,06,24,2201,13,4931,96,1,9996,1,0,0,9996
2003-004713,004713,2003,06,24,2201,13,4841,96,0,9996,2,0,0,9996
2003-004714,004714,2003,06,24,2201,14,4931,96,1,9996,0,0,0,9996
2003-004715,004715,2003,06,24,2201,15,3551,96,1,9996,0,0,0,9996
2003-004715,004715,2003,06,24,2201,15,4931,96,0,9996,36,0,0,9996
2003-004716,004716,2003,06,24,2201,16,4931,96,1,9996,0,0,0,9996
2003-004717,004717,2003,06,24,2201,17,4931,96,1,9996,14,0,0,9996
2003-004718,004718,2003,06,24,2201,18,3551,96,1,9996,0,0,0,9996
