tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,alive,othlp,species,batch,row,kept,observe,dead,sell,weighed,q11a,id
057402,09,02,2204,30,0,,7794,3,1,6,2019,07,16,0113879,0,0,2,CTJL2204.pdf,00135925.tif,ORIGINAL,0,YFT,4711,0574,1,3,3,0,0,0,3,2019-057402
063001,09,01,2205,31,0,,6773,3,1,4,2019,07,19,0113879,0,0,1,CTJL2205.pdf,00136197.tif,ORIGINAL,0,DOLPHIN,1050,0630,2,1,1,0,0,0,2,2019-063001
063001,09,01,2205,32,0,,6773,3,1,4,2019,07,19,0113879,0,0,1,CTJL2205.pdf,00136197.tif,ORIGINAL,0,BFT SCHOOL,4677,0630,1,1,1,0,0,0,2,2019-063001
063001,09,01,2205,33,0,,6773,3,1,4,2019,07,19,0113879,0,0,1,CTJL2205.pdf,00136197.tif,ORIGINAL,1,DUSKY SHARK,4841,0630,3,0,0,0,0,0,2,2019-063001
040701,09,01,2210,34,0,,7796,4,2,2,2019,07,03,0110651,0,0,2,CTJL2210.pdf,00134785.tif,ORIGINAL,1,SHORTFIN MAKO SHARK,3551,0407,1,0,0,0,0,0,2,2019-040701
040701,09,01,2210,35,0,,7796,4,2,2,2019,07,03,0110651,0,0,2,CTJL2210.pdf,00134785.tif,ORIGINAL,1,BLUE SHARK,4931,0407,2,0,0,0,0,0,2,2019-040701
040702,09,02,2210,36,0,,7796,4,1,3,2019,07,03,0110656,0,0,2,CTJL2210.pdf,00134787.tif,ORIGINAL,1,COMMON THRESHER SHARK,3531,0407,2,0,0,0,0,0,2,2019-040702
040702,09,02,2210,37,0,,7796,4,1,3,2019,07,03,0110656,0,0,2,CTJL2210.pdf,00134787.tif,ORIGINAL,1,SHORTFIN MAKO SHARK,3551,0407,1,0,0,0,0,0,2,2019-040702
040901,09,01,2216,38,0,,6773,3,1,3,2019,07,05,0113879,0,0,2,CTJL2216.pdf,00134795.tif,ORIGINAL,5,BLUEFISH,230,0409,1,0,0,0,0,0,3,2019-040901
040902,09,02,2216,39,0,,6773,3,1,4,2019,07,05,0110630,0,0,2,CTJL2216.pdf,00134797.tif,ORIGINAL,16,BLUE SHARK,4931,0409,1,0,0,0,0,0,2,2019-040902
040904,09,04,2216,40,0,,6773,3,1,2,2019,07,05,0110630,0,0,2,CTJL2216.pdf,00134800.tif,ORIGINAL,2,SPINY DOGFISH,3521,0409,2,0,0,0,0,0,2,2019-040904
040904,09,04,2216,41,0,,6773,3,1,2,2019,07,05,0110630,0,0,2,CTJL2216.pdf,00134800.tif,ORIGINAL,4,BLUE SHARK,4931,0409,1,0,0,0,0,0,2,2019-040904
