id,year,month,day,stcode,county,siteno,tourn,tcode,tourn_name,new_tcode,new_name,inttime,site_no,sitetype,docno,location,prim_op,todayt,category,ppstate,ppstfips,returnt,prim1,prim2,hook,hook_oth,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chunk,fm_chum,fm_other,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,young_school_bft,school_bft,large_school_bft,small_med_bft,large_med_bft,giant_bft,unk_bft,school_or_lgschool_bft
2002-255401,2002,6,14,24,47,938,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1800,470938,1,1,BALTIMORE CANYON,1,2,1,MD,24,1750,3591,9996,6,6,5,6,0,1,1,1,0,1,0,6,4,3814,7350,60,500,61,0,0,0,0,0,0,0,0
2002-255402,2002,6,14,24,47,938,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1830,470938,1,2,BALTIMORE CANYON,2,1,3,MD,24,1815,3551,9996,6,6,5,6,0,0,1,0,0,1,0,6,6,3806,7349,60,1800,61,0,0,0,0,0,0,0,0
2002-255403,2002,6,14,24,47,938,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1915,470938,1,3,BALTIMORE CANYON,2,1,3,DE,10,1910,3591,9996,6,6,4,6,0,0,1,0,0,1,0,6,3,3814,7350,60,500,62,0,0,0,0,0,0,0,0
2002-255703,2002,6,15,10,5,1599,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1850,51599,1,3,OFF DELAWARE,2,1,3,DE,10,1840,3591,9996,6,6,2,12,0,0,1,0,0,1,0,6,6,9998,9998,25,108,64,0,0,0,0,0,0,0,0
2002-258005,2002,6,15,24,47,1493,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1550,471493,1,5,BALTO CANYON,2,1,7,MD,24,1545,3551,9996,6,6,5,6,0,0,1,0,0,1,0,6,3,3820,7345,86,420,62,0,0,0,0,0,0,0,0
2002-258006,2002,6,15,24,47,1493,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1710,471493,1,6,FINGERS,2,1,3,MD,24,1700,3551,9996,6,6,3,6,0,0,1,0,0,1,0,6,3,3812,7437,25,120,64,0,0,0,0,0,0,0,0
2002-258012,2002,6,15,24,47,1493,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1810,471493,1,12,POOR MANS CANYON,2,1,3,MD,24,1800,3551,9996,6,6,4,4,0,0,1,0,0,1,0,6,4,3752,7406,59,480,61,0,0,0,0,0,0,0,0
2002-258008,2002,6,15,24,47,9006,1,T501,OC SHARK TOURNAMENT,501,OCEAN CITY MD SHARK,1747,479006,1,8,20 F FINGER,1,2,1,MD,24,1645,3551,9996,6,6,4,7,0,0,1,0,0,1,0,6,4,3818,7437,21,130,63,0,0,0,0,0,0,0,0
2002-257701,2002,6,15,36,103,85,1,T206,STAR ISLAND YACHT,206,STAR ISLAND YC SHARK,1630,1030085,1,1,BUTTERFISH HOLE,1,2,1,NY,36,1615,3551,9996,6,6,3,3,0,0,1,0,1,0,0,6,5,9998,9998,21,140,58,0,0,0,0,0,0,0,0
2002-257702,2002,6,15,36,103,85,1,T206,STAR ISLAND YACHT,206,STAR ISLAND YC SHARK,1700,1030085,1,2,BUTTERFISH HOLE,2,1,1,NY,36,1645,3551,9996,6,6,4,4,0,0,1,0,0,1,0,6,3,4050,7135,28,180,58,0,0,0,0,0,0,0,0
2002-257703,2002,6,15,36,103,85,1,T206,STAR ISLAND YACHT,206,STAR ISLAND YC SHARK,1730,1030085,1,3,SOUTHEAST,1,2,8,NY,36,1700,3551,9996,6,6,3,4,0,0,1,0,0,1,0,6,3,9998,9998,30,200,59,0,0,0,0,0,0,0,0
2002-258805,2002,6,21,51,1,25,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1650,10025,1,5,36 MILES,1,2,2,MD,24,1630,4656,9996,6,6,5,7,0,1,1,1,0,0,0,6,4,9998,9998,36,140,71,0,0,0,0,0,0,0,0
2002-258806,2002,6,21,51,1,25,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1725,10025,1,6,WASHINGTON CANYON,1,2,2,MD,24,1700,4656,9996,6,6,6,7,0,1,1,1,0,0,0,6,3,3724,7425,60,500,69,0,2,0,0,0,0,0,0
2002-258807,2002,6,21,51,1,25,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1800,10025,1,7,NORFOLK CANYON,1,2,2,VA,51,1730,4656,9996,6,6,5,8,0,1,1,1,0,0,0,6,4,3700,7415,60,800,72,0,0,0,0,0,0,0,0
2002-258810,2002,6,21,51,1,25,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1820,10025,1,10,NORFOLK CANYON,1,2,2,VA,51,1800,4656,9996,6,6,7,7,0,1,1,1,0,0,0,6,7,3700,7415,60,600,72,0,0,0,0,0,0,0,0
2002-258801,2002,6,21,51,1,1199,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1430,11199,1,1,PARKING LOT,1,2,2,VA,51,1415,4656,9996,6,6,4,8,0,1,0,1,0,0,0,6,2,3740,7450,35,100,69,0,0,0,0,0,0,0,0
2002-258809,2002,6,21,51,1,1199,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1810,11199,1,9,45 MILE LINE,1,2,2,MD,24,1700,4656,9996,6,6,9,7,0,1,1,1,0,0,0,6,6,9998,9998,45,120,71,0,2,0,0,0,0,0,0
2002-258811,2002,6,21,51,1,1199,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1845,11199,1,11,NORFOLK CANYON,1,2,2,MD,24,1700,4656,9996,6,6,7,8,0,1,1,1,0,0,0,6,4,3700,7415,60,600,72,0,0,0,0,0,0,0,0
2002-259303,2002,6,22,51,1,24,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1615,10024,1,3,26 MILE HILL,2,1,3,VA,51,1605,4656,9996,6,6,5,6,0,1,1,1,0,0,0,6,4,3715,7510,26,70,70,0,3,1,0,0,0,0,0
2002-259308,2002,6,22,51,1,24,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1705,10024,1,8,26 MILE HILL,1,2,2,MD,24,1650,4670,9996,6,6,6,7,0,1,1,1,0,0,0,6,4,3715,7510,26,75,71,2,4,0,0,0,0,0,0
2002-259310,2002,6,22,51,1,24,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1730,10024,1,10,26 MILE HILL,1,2,2,MD,24,1710,4670,9996,6,6,7,6,0,1,0,1,0,0,0,6,4,3715,7510,26,60,72,0,2,0,0,0,0,0,0
2002-259312,2002,6,22,51,1,24,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1740,10024,1,12,S NORFOLK,1,2,8,MD,24,1730,4670,9996,6,6,8,5,0,0,1,1,0,0,0,6,5,3705,7435,50,3500,70,0,0,0,0,0,0,0,0
2002-259314,2002,6,22,51,1,24,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1755,10024,1,14,NORFOLK CANYON,1,2,2,MD,24,1750,4670,9996,6,6,9,5,0,1,1,1,0,0,0,6,4,3705,7435,52,191,71,0,0,0,0,0,0,0,0
2002-259315,2002,6,22,51,1,24,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1805,10024,1,15,7,2,1,3,VA,51,1755,8888,9996,6,6,6,6,0,0,1,1,0,0,0,6,6,9998,9998,50,1000,68,0,1,0,0,0,0,0,0
2002-259316,2002,6,22,51,1,24,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1815,10024,1,16,NORFOLK CANYON,1,2,2,MD,24,1810,4670,9996,6,6,9,5,0,1,1,1,0,0,0,6,5,3705,9998,58,600,70,0,1,1,0,0,0,0,0
2002-259317,2002,6,22,51,1,24,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1825,10024,1,17,NORFOLK CANYON,1,2,8,MD,24,1815,4711,9996,6,6,8,8,0,1,0,1,0,0,0,6,4,3705,9998,55,900,68,0,0,0,0,0,0,0,0
2002-259503,2002,6,23,51,1,24,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1540,10024,1,3,26 MILE HILL,1,2,2,VA,51,1430,4656,9996,6,6,6,7,0,1,1,1,0,0,0,6,4,3715,7511,40,120,70,0,0,0,0,0,0,0,0
2002-259507,2002,6,23,51,1,24,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1615,10024,1,7,26 MILE HILL,1,2,2,MD,24,1500,4656,9996,6,6,7,8,0,1,1,1,0,0,0,6,4,3715,7511,40,80,72,0,4,0,0,0,0,0,0
2002-259511,2002,6,23,51,1,24,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1745,10024,1,11,NORFOLK CANYON,1,2,2,MD,24,1730,4656,9996,6,6,9,8,0,1,1,1,0,0,0,6,5,3700,7415,60,750,75,0,1,0,0,0,0,0,0
2002-259512,2002,6,23,51,1,24,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1800,10024,1,12,26 MILE HILL,1,2,2,MD,24,1745,4656,9996,6,6,7,7,0,1,1,1,0,0,0,6,4,3715,7511,40,96,70,0,2,0,0,0,0,0,0
2002-259508,2002,6,23,51,1,25,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1700,10025,3,8,20 FATHOM LINE,1,2,2,MD,24,1650,4656,9996,6,6,7,6,0,1,1,1,0,0,0,6,3,3720,7458,35,130,68,0,0,0,0,0,0,0,0
2002-259513,2002,6,23,51,1,25,1,9650,MSSA TUNAMENT,9650,MSSA TUNAMENT,1815,10025,1,13,NORFOLK CANYON,1,2,2,MD,24,1800,4656,9996,6,6,7,7,0,1,1,1,0,0,0,6,4,3700,7415,60,1500,75,0,0,0,0,0,0,0,0
2002-265301,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1605,1030037,1,1,BLOCK CHANNEL,1,2,2,CT,9,1530,3551,9996,6,6,4,7,0,0,1,0,0,0,1,DRIFTING,4,9998,9998,15,185,62,0,0,0,0,0,0,0,0
2002-265302,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1608,1030037,1,2,SOUTH SHINNECOCK,1,2,1,CT,9,1530,3551,9996,6,6,1,1,1,0,0,0,0,1,0,6,3,9998,9998,20,30,62,0,0,0,0,0,0,0,0
2002-265303,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1615,1030037,1,3,BUTTERFISH HOLE,1,2,8,NY,36,1530,3551,9996,6,6,3,8,0,0,1,0,0,1,0,6,4,9999,9999,17,185,64,0,0,0,0,0,0,0,0
2002-265304,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1620,1030037,1,4,RANGER WRECK,1,2,1,NY,36,1600,4931,9996,6,6,3,6,0,0,1,0,0,1,0,6,3,9999,9999,40,220,67,0,0,0,0,0,0,0,0
2002-265305,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1625,1030037,1,5,BUTTERFISH HOLE,1,2,3,CT,9,1600,4931,9996,6,6,3,5,0,0,1,0,0,1,0,6,3,9998,9998,15,160,61,0,0,0,0,0,0,0,0
2002-265306,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1630,1030037,1,6,SOUTH OF POINT,1,2,1,CT,9,1600,3551,9996,6,6,3,6,1,1,1,0,0,1,0,6,5,9999,9999,25,180,62,0,0,0,0,0,0,0,0
2002-265307,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1640,1030037,1,7,SOUTHEAST OF POINT,1,2,6,CT,9,1630,4931,9996,6,6,5,7,1,0,1,0,1,1,0,6,3,9999,9999,20,185,64,0,0,0,0,0,0,0,0
2002-265308,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1700,1030037,1,8,7,1,2,6,CT,9,1630,3551,9996,6,6,3,3,0,1,1,1,1,1,0,6,2,9999,9999,30,200,64,0,0,0,0,0,0,0,0
2002-265309,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1715,1030037,1,9,SALTWEST,1,2,6,CT,9,1700,3551,9996,6,6,3,7,0,0,1,0,0,1,0,6,4,9999,9999,30,177,66,0,0,0,0,0,0,0,0
2002-265310,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1720,1030037,1,10,THE DUMP,1,2,8,CT,9,1600,3551,9996,6,6,4,6,1,0,1,0,0,1,0,6,6,9999,9999,50,190,65,0,0,0,0,0,0,0,0
2002-265311,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1725,1030037,1,11,SOUTH OF POINT,1,2,1,NY,36,1715,3551,9996,6,6,3,7,0,0,1,0,0,1,0,6,5,9999,9999,25,210,63,0,0,0,0,0,0,0,0
2002-265312,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1730,1030037,1,12,SOUTHEAST OF POINT,1,2,8,NY,36,1630,3551,9996,6,6,4,8,0,0,1,0,0,1,0,6,4,9999,9999,18,210,62,0,0,0,0,0,0,0,0
2002-265313,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1745,1030037,1,13,OFF SHINNECOCK,1,2,8,FL,12,1740,3551,9996,6,6,4,6,0,0,1,0,0,1,0,6,6,9999,9999,52,180,76,0,0,0,0,0,0,0,0
2002-265315,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1750,1030037,1,15,THE FINGERS,1,2,2,NY,36,1740,3551,9996,6,6,3,8,0,0,1,0,0,1,1,DRIFTING,4,9999,9999,30,215,64,0,0,0,0,0,0,0,0
2002-265314,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1800,1030037,1,14,SOUTHWEST OF POINT,1,2,8,CT,9,1745,3551,9996,6,6,3,8,1,0,1,0,1,0,0,6,6,9999,9999,27,167,68,0,0,0,0,0,0,0,0
2002-265316,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1805,1030037,1,16,RANGER,1,2,6,CT,9,1700,4931,9996,6,6,3,4,0,0,1,0,1,1,0,6,6,9999,9999,28,202,57,0,0,0,0,0,0,0,0
2002-265317,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1810,1030037,1,17,7,1,2,8,NY,36,1700,3551,9996,6,6,3,8,0,0,1,0,1,1,0,6,3,9999,9999,24,240,67,0,0,0,0,0,0,0,0
2002-265318,2002,6,28,36,103,37,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1835,1030037,1,18,SOUTHEAST OF POINT,1,2,6,NY,36,1700,3551,9996,6,6,4,5,0,0,1,0,0,1,0,6,5,9999,9999,35,200,64,0,0,0,0,0,0,0,0
2002-268407,2002,6,29,34,9,385,1,,CAPE MAY TUNA CLUB,306,CAPE MAY HINCHS SHARK,1905,90385,1,7,HOT DOG,1,2,2,NJ,34,1900,4656,9996,6,6,8,12,0,1,1,1,0,0,0,6,7,3806,7417,35,130,73,1,0,0,0,0,0,0,0
2002-268410,2002,6,29,34,9,1131,1,,TUNA AND MARLIN CLUB,306,CAPE MAY HINCHS SHARK,2000,91131,1,10,BALTIMORE CANYON,1,2,2,NJ,34,1830,4656,9996,6,6,7,8,0,0,1,1,0,0,0,6,4,3820,7345,68,600,70,0,0,0,0,0,0,0,0
2002-272510,2002,6,29,34,25,1050,1,,BAILY'S,,BAILY'S,1830,251050,1,10,GLORY HOLE,2,1,8,NJ,34,1700,3551,9996,6,6,4,8,0,0,1,0,1,0,0,6,6,3955,7315,44,200,68,0,0,0,0,0,0,0,0
2002-272508,2002,6,29,34,25,1050,1,,BAILY'S,,BAILY'S,1910,251050,1,8,TRIPLE WRECKS,1,2,8,NJ,34,1915,3551,9996,6,6,4,5,1,0,1,0,1,0,0,6,4,3935,7255,52,145,72,0,0,0,0,0,0,0,0
2002-272502,2002,6,29,34,25,1050,1,,BAILY'S,,BAILY'S,1935,251050,1,2,GLORY HOLE,2,1,1,NJ,34,1700,3551,9996,6,6,4,8,0,0,1,0,1,0,0,6,6,3955,7315,58,250,67,0,0,0,0,0,0,0,0
2002-272503,2002,6,29,34,25,1050,1,,BAILY'S,,BAILY'S,1945,251050,1,3,CHICKEN CANYON,2,2,3,NJ,34,1915,3551,9996,6,6,3,9,0,0,1,0,1,0,0,6,5,9998,9998,55,240,71,0,0,0,0,0,0,0,0
2002-272505,2002,6,29,34,25,1050,1,,BAILY'S,,BAILY'S,1955,251050,1,5,BACARDI WRECK,1,2,2,NJ,34,1800,3551,9996,6,6,3,18,1,0,1,0,1,0,0,6,4,3950,7245,68,180,70,0,0,0,0,0,0,0,0
2002-272506,2002,6,29,34,25,1050,1,,BAILY'S,,BAILY'S,2000,251050,1,6,GLORY HOLE,1,2,2,97,97,1715,3551,9996,6,6,4,11,1,0,1,0,1,0,0,6,4,3955,7315,36,265,71,0,0,0,0,0,0,0,0
2002-272507,2002,6,29,34,25,1050,1,,BAILY'S,,BAILY'S,2005,251050,1,7,CHICKEN CANYON,2,1,3,NJ,34,1700,3551,9996,6,6,4,6,0,0,1,0,1,0,0,6,8,3945,7400,44,180,72,0,0,0,0,0,0,0,0
2002-272509,2002,6,29,34,25,9004,1,,BAILY'S,,BAILY'S,1915,259004,1,9,MONSTER LEDGE,2,2,6,FL,12,1900,3551,9996,6,6,4,10,1,0,1,0,1,0,0,6,5,4010,7335,55,186,70,0,0,0,0,0,0,0,0
2002-272501,2002,6,29,34,25,9004,1,,BAILY'S,,BAILY'S,1930,259004,1,1,GLORY HOLE,2,1,9,NJ,34,1700,3551,9996,6,6,6,7,1,0,1,0,1,0,0,6,6,3955,7315,50,180,71,0,0,0,0,0,0,0,0
2002-266002,2002,6,29,36,103,85,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1715,1030085,1,2,SUFFOLK,1,2,1,RI,44,1600,3551,9996,6,6,3,8,0,0,1,0,1,0,0,6,3,9999,9999,38,180,66,0,0,0,0,0,0,0,0
2002-266005,2002,6,29,36,103,134,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1825,1030134,1,5,S MONTAUK POINT,1,2,1,FL,12,1820,3531,9996,6,6,5,8,1,1,1,0,0,1,1,DRIFTING,3,9999,9999,25,140,65,0,0,0,0,0,0,0,0
2002-266006,2002,6,29,36,103,134,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1830,1030134,1,6,700 LINE SOUTH,2,1,8,NY,36,1500,3551,9996,6,6,3,7,0,0,1,0,0,1,0,6,6,9999,9999,20,187,64,0,0,0,0,0,0,0,0
2002-266007,2002,6,29,36,103,134,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1840,1030134,1,7,THE HORNS,2,2,3,NH,33,1800,3551,9996,6,6,2,9,1,0,1,0,0,1,0,6,4,9999,9999,20,207,63,0,0,0,0,0,0,0,0
2002-266008,2002,6,29,36,103,134,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1900,1030134,1,8,S RANGER,1,2,2,NY,36,1715,3531,9996,6,6,8,7,0,0,1,0,1,1,0,6,3,9999,9999,53,260,66,0,0,0,0,0,0,0,0
2002-266009,2002,6,29,36,103,134,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1910,1030134,1,9,RANGER,1,2,2,CT,9,1430,3551,9996,6,6,2,2,0,0,1,1,1,1,0,6,3,9999,9999,37,240,66,0,0,0,0,0,0,0,0
2002-266010,2002,6,29,36,103,134,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1925,1030134,1,10,SE SHINECOCK,1,2,8,CT,9,1630,3551,9996,6,6,4,7,0,0,1,0,1,1,0,6,5,9999,9999,17,160,65,0,0,0,0,0,0,0,0
2002-266003,2002,6,29,36,103,135,1,T202,MONTAUK MARINE BASIN,202,MONTAUK MARINE BASIN SHARK TAG,1800,1030135,1,3,S OF MONTAUK POINT,2,1,3,NY,36,1700,3551,9996,6,6,2,6,0,0,1,0,0,1,0,6,6,9999,9999,25,235,69,0,0,0,0,0,0,0,0
2002-266201,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1600,1030342,1,1,ROCKPILES FOUR,1,2,2,NY,36,1600,3551,9996,6,6,3,4,0,0,1,0,0,1,0,6,4,9998,9998,36,170,71,0,0,0,0,0,0,0,0
2002-266202,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1615,1030342,1,2,TEXAS TOWER,2,1,1,NY,36,1600,3551,9996,6,6,4,5,0,0,1,0,0,1,0,6,2,9998,9998,56,190,68,0,0,0,0,0,0,0,0
2002-266203,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1630,1030342,1,3,400 SPREAD,2,1,1,NY,36,1620,3551,9996,6,6,3,5,0,0,1,0,0,1,0,6,4,9998,9998,39,186,69,0,0,0,0,0,0,0,0
2002-266204,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1645,1030342,1,4,54 SOUTH BACARDI,1,2,2,NY,36,1630,3551,9996,6,6,3,5,0,0,1,0,0,1,0,6,4,3950,7245,54,185,68,0,0,0,0,0,0,0,0
2002-266205,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1650,1030342,1,5,COMPASS ROSE,1,2,2,NY,36,1640,3551,9996,6,6,4,5,0,0,1,0,0,1,0,6,4,9998,9998,40,190,69,0,0,0,0,0,0,0,0
2002-266206,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1655,1030342,1,6,VIRGINIA WRECK,1,2,8,NY,36,1645,3551,9996,6,6,4,5,0,0,1,0,0,1,0,6,4,9998,9998,37,160,70,0,0,0,0,0,0,0,0
2002-266207,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1659,1030342,1,7,ROCKPILES,1,2,8,NY,36,1645,3551,9996,6,6,4,5,0,0,1,0,0,1,0,6,5,4030,7255,39,195,69,0,0,0,0,0,0,0,0
2002-266208,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1700,1030342,1,8,35 MILES SOUTH,1,2,8,NY,36,1645,3551,9996,6,6,4,5,0,0,1,0,0,1,0,6,4,9998,9998,35,136,72,0,0,0,0,0,0,0,0
2002-266209,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1710,1030342,1,9,SCHOONER WRECK,1,2,8,NY,36,1700,3551,9996,6,6,3,3,0,0,1,0,0,1,0,6,4,9998,9998,40,180,69,0,0,0,0,0,0,0,0
2002-266210,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1715,1030342,1,10,40 MILES SOUTH,2,1,1,NY,36,1700,3551,9996,6,6,5,6,0,0,1,0,0,1,0,6,6,9998,9998,40,180,65,0,0,0,0,0,0,0,0
2002-266211,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1715,1030342,1,11,VIRGINIA,1,2,8,NY,36,1700,3551,9996,6,6,3,6,0,0,1,0,0,1,0,6,5,9998,9998,40,160,72,0,0,0,0,0,0,0,0
2002-266212,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1720,1030342,1,12,TEXAS TOWER,1,2,8,NY,36,1705,3551,9996,6,6,4,7,0,0,1,0,0,1,0,6,3,9998,9998,62,200,69,0,0,0,0,0,0,0,0
2002-266213,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1730,1030342,1,13,COIMBRA,1,2,8,NY,36,1715,3551,9996,6,6,3,4,0,0,1,0,0,1,0,6,4,3955,7225,40,174,66,0,0,0,0,0,0,0,0
2002-266214,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1740,1030342,1,14,35 FATH0MS,1,2,8,DE,10,1720,3551,9996,6,6,3,7,0,0,1,0,0,1,0,6,6,9998,9998,39,188,71,0,0,0,0,0,0,0,0
2002-266215,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1745,1030342,1,15,COIMBRA,1,2,2,NY,36,1720,3551,9996,6,6,4,6,0,0,1,0,0,1,0,6,6,9998,9998,50,210,68,0,0,0,0,0,0,0,0
2002-266216,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1755,1030342,1,16,SCHOONER,1,2,2,NY,36,1730,3551,9996,6,6,3,8,0,0,1,0,0,1,0,6,4,9998,9998,39,170,69,0,0,0,0,0,0,0,0
2002-266217,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1800,1030342,1,17,SOUTHEAST,1,2,2,NY,36,1750,3551,9996,6,6,4,4,0,0,1,0,0,1,0,6,4,9998,9998,33,180,69,0,0,0,0,0,0,0,0
2002-266218,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1810,1030342,1,18,COIMBRA,1,2,2,NY,36,1745,3551,9996,6,6,4,6,0,0,1,0,0,1,0,6,5,9998,9998,45,185,67,0,0,0,0,0,0,0,0
2002-266219,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1815,1030342,1,19,BACARDI,1,2,8,NY,36,1745,3551,9996,6,6,3,7,0,0,1,0,0,1,0,6,3,3950,7245,52,185,72,0,0,0,0,0,0,0,0
2002-266220,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1820,1030342,1,20,COIMBRA,1,2,2,NY,36,1745,3551,9996,6,6,3,5,0,0,1,0,0,1,0,6,3,9998,9998,33,180,69,0,0,0,0,0,0,0,0
2002-266221,2002,6,29,36,103,342,1,T200,BAYSHORE TUNA CLUB,200,BAYSHORE TUNA CLUB MAKO,1830,1030342,1,21,COMPASS ROSE,1,2,2,NY,36,1810,3551,9996,6,6,3,4,0,0,1,0,0,1,0,6,5,9998,9998,35,190,71,0,0,0,0,0,0,0,0
2002-273704,2002,7,4,24,47,1493,1,6300,CANYON KICKOFF,6300,OCEAN CITY MD CANYON KICKOFF,1807,471493,1,4,NORFOLK AND WASH,1,2,2,MD,24,1800,5250,9996,6,6,6,7,0,0,1,1,0,0,0,6,4,3700,7415,50,600,78,0,0,0,0,0,0,0,0
