tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
140701,6,09,CT,6,01,6,6,MONTAUK,7788,09,1504,1202,3234,3,1,1,2,2,1,1500,3551,3531,2,1,2,3,0,1,0,0,1,0,0,0,3,4101,7150,8,170,67,1,2,2,CTSE1202.pdf,00140960.tif,2019,1,0,0,ORIGINAL,09,02,21794,1407,0113234,011,3,184,0,,Y,2,2019-140701
140702,6,09,CT,6,02,6,6,VEATCH CANYON,7788,09,1754,1202,0880,3,1,2,2,3,1,1752,4711,4328,2,2,9,42,1,1,1,1,0,1,0,0,4,3952,6933,130,2000,78,1,2,1,CTSE1202.pdf,00140961.tif,2019,0,0,0,ORIGINAL,09,02,21794,1407,0110880,011,3,185,1,Q20;Q25;,Y,1,2019-140702
141101,6,10,DE,6,01,6,6,2O FATHOM LINE,7778,10,1545,1204,0013,1,1,2,1,3,1,1430,1050,9996,2,2,8,4,0,1,0,1,0,0,0,0,6,9998,9998,30,120,75,1,2,1,DESE1204.pdf,00140974.tif,2019,0,0,0,ORIGINAL,09,02,21794,1411,0050013,005,6,239,0,,Y,2,2019-141101
141301,6,25,MA,6,01,6,6,OFF CHATAM,7765,25,1645,1101,0444,6,1,1,1,3,2,1630,4676,9996,2,1,6,4,0,1,1,1,0,0,0,0,4,9999,9999,5,130,65,1,2,2,MASE1101.pdf,00140980.tif,2019,0,0,0,ORIGINAL,09,01,21793,1413,0010444,001,2,364,0,,Y,2,2019-141301
141401,6,25,MA,6,01,6,6,STELLWAGEN BANK,7764,25,1321,1102,0217,8,3,1,2,1,1,1320,4671,9996,2,1,2,3,1,0,0,0,0,0,1,0,3,4216,7017,3,107,98,1,2,1,MASE1102.pdf,00140983.tif,2019,0,1,0,ORIGINAL,09,01,21793,1414,0230217,023,2,384,0,,Y,2,2019-141401
141402,6,25,MA,6,02,6,6,STELLWAGEN BANK,7764,25,1405,1102,0217,8,3,1,2,1,1,1400,4671,9996,2,1,3,6,1,0,0,0,0,0,1,0,2,4216,7017,10,120,64,2,2,1,MASE1102.pdf,00140985.tif,2019,1,1,0,ORIGINAL,09,01,21793,1414,0230217,023,2,376,0,,Y,1,2019-141402
141403,6,25,MA,6,03,6,6,STELLWAGEN BANK S,7764,25,1433,1102,0217,8,3,1,2,1,1,1430,4671,9996,2,1,3,5,1,0,0,0,0,0,1,0,2,4210,7015,6,120,65,1,2,1,MASE1102.pdf,00140987.tif,2019,0,1,0,ORIGINAL,09,01,21793,1414,0230217,023,2,381,0,,Y,1,2019-141403
141404,6,25,MA,6,04,6,6,STELLWAGEN BANK,7764,25,1500,1102,0784,8,1,1,2,1,1,1458,4671,9996,2,1,2,4,1,0,0,0,0,0,1,0,3,4216,7017,10,78,68,1,2,1,MASE1102.pdf,00140989.tif,2019,1,1,0,ORIGINAL,09,01,21793,1414,0230784,023,2,368,0,,Y,2,2019-141404
141405,6,09,CT,6,05,TREBLE HOOK,CASTING,PEAKED HILL,7764,25,1505,1102,0784,8,1,1,2,2,1,1505,4671,9996,2,23,4,8,0,0,1,0,0,0,0,1,2,4205,7008,20,200,67,1,2,2,MASE1102.pdf,00140991.tif,2019,1,1,0,ORIGINAL,09,01,21793,1414,0230784,023,2,383,0,,Y,2,2019-141405
141406,6,25,MA,6,06,6,6,STELLWAGEN BANK,7764,25,1519,1102,0784,8,1,2,2,3,1,1500,4671,9996,2,12,4,8,1,0,0,0,0,0,1,0,3,4216,7017,15,100,69,1,2,1,MASE1102.pdf,00140992.tif,2019,1,1,0,ORIGINAL,09,01,21793,1414,0230784,023,2,374,0,,Y,2,2019-141406
