tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,tracker,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,10,DE,6,01,6,6,HOT DOG,6555,24,1500,1105,0856,4,3,1,2,2,7,1455,4656,9996,2,1,4,10,0,1,0,1,0,0,0,0,2,3806,7417,50,120,67,1,2,1,MDJN1105.pdf,00120022.tif,2018,1,1,0,ORIGINAL,06,02,21337,000901,0009,0470856,047,6,391,0,,Y,2,2018-000901
6,42,PA,6,02,6,6,JACKSPOT,6555,24,1505,1105,0856,4,3,1,2,2,1,1500,3591,9996,2,1,2,3,0,1,0,0,1,0,0,0,2,3805,7445,24,80,70,1,1,1,MDJN1105.pdf,00120024.tif,2018,0,1,0,ORIGINAL,06,02,21337,000902,0009,0470856,047,6,395,0,,Y,2,2018-000902
6,24,MD,6,03,6,6,ELEPHANT TRUNK,6555,24,1525,1105,0856,4,3,1,2,2,1,1520,4677,9996,2,2,6,6,0,1,1,1,0,0,0,0,2,3835,7405,50,300,68,1,2,1,MDJN1105.pdf,00120026.tif,2018,0,0,0,ORIGINAL,06,02,21337,000903,0009,0470856,047,6,397,0,,Y,2,2018-000903
6,24,MD,6,04,6,6,HOT DOG,6555,24,1545,1105,0856,4,3,1,2,2,1,1540,4677,4691,2,12,7,5,0,1,0,1,0,0,0,0,3,3806,7417,50,120,67,1,1,1,MDJN1105.pdf,00120028.tif,2018,0,0,0,ORIGINAL,06,02,21337,000904,0009,0470856,047,6,396,0,,Y,2,2018-000904
6,24,MD,6,05,6,6,HOT DOG,6555,24,1605,1105,0856,4,3,1,2,2,1,1600,4677,9996,2,2,6,4,0,1,0,1,0,0,0,0,1,3806,7417,50,180,67,2,2,1,MDJN1105.pdf,00120030.tif,2018,0,1,0,ORIGINAL,06,02,21337,000905,0009,0470856,047,6,394,0,,Y,2,2018-000905
5510,10,DE,MAKO MANIA,06,6,6,20 FATH FINGERS,6555,24,1620,1105,0856,4,3,2,2,3,1,1615,3591,9996,1,1,4,7,0,1,0,0,1,0,0,0,4,3812,7437,28,120,67,1,1,1,MDJN1105.pdf,00120032.tif,2018,0,0,0,ORIGINAL,06,02,21337,000906,0009,0470856,047,6,288,0,,Y,2,2018-000906
5510,24,MD,MAKO MANIA,07,6,6,SAUAN GSI,6555,24,1625,1105,0856,4,3,1,2,2,1,1620,3591,9996,1,1,4,6,0,1,0,0,1,0,0,0,4,3759,7433,36,200,68,1,2,1,MDJN1105.pdf,00120034.tif,2018,0,0,0,ORIGINAL,06,02,21337,000907,0009,0470856,047,6,287,0,,Y,2,2018-000907
6,24,MD,6,08,6,6,HOT DOG,6555,24,1630,1105,0856,4,3,1,2,2,1,1625,4677,9996,2,2,9,6,0,1,0,1,0,0,0,0,3,3806,7417,44,120,69,1,2,1,MDJN1105.pdf,00120036.tif,2018,0,0,0,ORIGINAL,06,02,21337,000908,0009,0470856,047,6,390,0,,Y,2,2018-000908
6,24,MD,6,09,6,6,HOT DOG,6555,24,1635,1105,0856,4,3,1,2,2,2,1630,4671,4711,2,2,7,8,0,1,1,1,0,0,0,0,2,3806,7417,50,160,69,1,2,1,MDJN1105.pdf,00120038.tif,2018,1,1,0,ORIGINAL,06,02,21337,000909,0009,0470856,047,6,398,0,,Y,2,2018-000909
6,24,MD,6,10,6,6,HOT DOG,6555,24,1640,1105,0856,4,3,1,2,2,1,1635,4677,4711,2,12,8,7,0,1,1,1,0,0,0,0,4,3806,7417,42,120,68,1,2,1,MDJN1105.pdf,00120040.tif,2018,0,0,0,ORIGINAL,06,02,21337,000910,0009,0470856,047,6,393,0,,Y,2,2018-000910
5510,24,MD,MAKO MANIA,11,6,6,MASSEYS CANYON,6555,24,1700,1105,0856,4,3,1,2,2,1,1655,3551,9996,1,1,3,9,0,1,0,0,1,0,0,0,3,3837,7439,50,600,66,1,1,1,MDJN1105.pdf,00120042.tif,2018,0,0,0,ORIGINAL,06,02,21337,000911,0009,0470856,047,6,285,0,,Y,2,2018-000911
5510,24,MD,MAKO MANIA,12,6,6,30 FATHOM LINE,6555,24,1705,1105,0856,4,3,1,2,2,1,1700,3551,9996,1,1,4,7,0,1,0,0,1,0,0,0,4,3825,7420,40,200,98,1,2,1,MDJN1105.pdf,00120044.tif,2018,0,0,0,ORIGINAL,06,02,21337,000912,0009,0470856,047,6,286,0,,Y,2,2018-000912
6,24,MD,6,13,6,6,HOT DOG,6555,24,1745,1105,0856,4,3,1,2,2,1,1740,4677,4711,2,2,10,7,0,1,1,1,0,0,0,0,5,3806,7417,50,200,66,1,1,1,MDJN1105.pdf,00120046.tif,2018,0,0,0,ORIGINAL,06,02,21337,000913,0009,0470856,047,6,392,0,,Y,2,2018-000913
6,24,MD,6,01,6,6,HOT DOG,6936,24,1545,1106,1493,5,1,1,2,2,1,1530,4677,9996,2,2,15,7,0,1,1,1,0,0,0,0,6,3806,7417,35,1120,68,1,1,1,MDJN1106.pdf,00119998.tif,2018,0,0,0,ORIGINAL,06,02,21337,001001,0010,0471493,047,6,401,1,Q19;,Y,2,2018-001001
6,24,MD,6,02,6,6,HOT DOG,6936,24,1620,1106,1493,5,1,1,2,2,1,1600,4677,9996,2,2,8,10,0,1,0,1,0,0,0,0,1,3806,7417,40,45,67,1,2,1,MDJN1106.pdf,00120000.tif,2018,0,0,0,ORIGINAL,06,02,21337,001002,0010,0471493,047,6,406,0,,Y,2,2018-001002
5510,12,FL,MAKO MANIA,03,6,6,HOT DOG,6936,24,1635,1106,1493,5,1,2,1,3,2,1615,3591,9996,1,1,3,7,0,1,0,0,1,1,0,0,3,3806,7417,38,140,70,2,2,1,MDJN1106.pdf,00120002.tif,2018,0,1,0,ORIGINAL,06,02,21337,001003,0010,0471493,047,6,289,0,,N,2,2018-001003
6,24,MD,6,04,6,6,HOT DOG,6936,24,1650,1106,1493,5,1,1,2,2,1,1630,4677,9996,2,2,6,7,0,1,0,1,0,0,0,0,4,3806,7417,40,160,70,1,2,1,MDJN1106.pdf,00120004.tif,2018,0,0,0,ORIGINAL,06,02,21337,001004,0010,0471493,047,6,407,0,,Y,2,2018-001004
5510,24,MD,MAKO MANIA,05,6,6,HOT DOG,6936,24,1705,1106,1493,5,1,1,2,2,1,1645,3591,9996,1,1,3,7,0,1,0,0,1,1,0,0,6,3806,7417,40,120,67,1,2,2,MDJN1106.pdf,00120006.tif,2018,0,0,0,ORIGINAL,06,02,21337,001005,0010,0471493,047,6,291,0,,Y,2,2018-001005
5510,24,MD,MAKO MANIA,06,6,6,HOT DOG,6936,24,1715,1106,1493,5,1,2,1,3,1,1645,3591,9996,1,1,4,7,0,1,0,0,1,1,0,0,10,3806,7417,31,180,68,1,1,2,MDJN1106.pdf,00120007.tif,2018,0,0,0,ORIGINAL,06,02,21337,001006,0010,0471493,047,6,290,1,Q23;Q23;,Y,2,2018-001006
6,24,MD,6,07,6,6,HOT DOG,6936,24,1730,1106,1493,5,1,1,2,2,1,1700,4677,9996,2,2,11,7,0,1,1,1,0,0,0,0,6,3806,7417,42,180,69,1,2,1,MDJN1106.pdf,00120008.tif,2018,0,0,0,ORIGINAL,06,02,21337,001007,0010,0471493,047,6,399,0,,Y,1,2018-001007
6,24,MD,6,08,6,6,TEA CUP,6936,24,1745,1106,1493,5,1,1,2,2,1,1730,3591,9996,2,1,4,7,0,1,0,0,1,1,0,0,6,3821,7410,50,180,67,2,2,1,MDJN1106.pdf,00120010.tif,2018,0,0,0,ORIGINAL,06,02,21337,001008,0010,0471493,047,6,403,0,,Y,2,2018-001008
6,24,MD,6,09,6,6,HOT DOG,6936,24,1805,1106,1493,5,1,1,2,2,1,1745,4677,9996,2,2,10,8,0,1,1,1,0,0,0,0,6,3806,7417,39,180,71,2,1,1,MDJN1106.pdf,00120012.tif,2018,0,0,0,ORIGINAL,06,02,21337,001009,0010,0471493,047,6,402,0,,Y,2,2018-001009
6,24,MD,6,10,6,6,HOT DOG,6936,24,1820,1106,1493,5,1,1,2,2,1,1730,4677,9996,2,2,10,8,0,1,1,1,0,0,0,0,6,3806,7417,41,180,70,1,2,1,MDJN1106.pdf,00120014.tif,2018,0,0,0,ORIGINAL,06,02,21337,001010,0010,0471493,047,6,405,0,,Y,2,2018-001010
6,24,MD,6,11,6,6,WASHINGTON CANYON,6936,24,1835,1106,1493,5,1,2,1,3,1,1800,4711,4677,2,2,16,8,0,1,1,1,0,0,0,0,6,3727,7427,62,3000,70,1,2,1,MDJN1106.pdf,00120016.tif,2018,0,0,0,ORIGINAL,06,02,21337,001011,0010,0471493,047,6,400,1,Q19;,Y,1,2018-001011
6,24,MD,6,12,6,6,ROCK PILE,6936,24,1850,1106,1493,5,1,2,1,3,1,1815,4677,9996,2,2,11,8,0,1,1,1,0,0,0,0,6,3739,7422,42,300,68,1,1,1,MDJN1106.pdf,00120018.tif,2018,0,0,0,ORIGINAL,06,02,21337,001012,0010,0471493,047,6,404,0,,Y,2,2018-001012
6,24,MD,6,01,6,6,POOR MANS CANYON,6555,24,1530,2101,0856,4,3,1,2,2,1,1525,4656,9996,2,2,10,4,0,1,0,1,0,0,0,0,4,3752,7406,65,2600,64,1,2,1,MDJN2101.pdf,00120050.tif,2018,0,0,0,ORIGINAL,06,01,21336,001101,0011,0470856,047,6,463,0,,Y,2,2018-001101
