tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,prep,recno,q11a,s_index,serrflag,sprobfld,id
196502,9996,9996,293,6,9996,6416,6,1,2018,10,19,0259005,0,0,34,02,2218,1,NJOC2218.pdf,00131746.tif,ORIGINAL,330,1965,0,1,2,5,0,,2018-196502
196502,9996,9996,294,6,9996,6416,6,1,2018,10,19,0259005,0,0,34,02,2218,1,NJOC2218.pdf,00131746.tif,ORIGINAL,330,1965,0,5,2,9,0,,2018-196502
189301,9996,9996,296,6,9996,6416,10,1,2018,10,14,0290894,0,0,34,01,1213,1,NJOC1213.pdf,00131448.tif,ORIGINAL,330,1893,0,2,2,2,0,,2018-189301
196502,9996,9996,297,6,9996,6416,6,1,2018,10,19,0259005,0,0,34,02,2218,1,NJOC2218.pdf,00131746.tif,ORIGINAL,330,1965,0,6,2,10,0,,2018-196502
196502,9996,9996,304,6,9996,6416,6,1,2018,10,19,0259005,0,0,34,02,2218,1,NJOC2218.pdf,00131746.tif,ORIGINAL,330,1965,0,2,2,6,0,,2018-196502
196502,9996,9996,310,6,9996,6416,6,1,2018,10,19,0259005,0,0,34,02,2218,1,NJOC2218.pdf,00131746.tif,ORIGINAL,330,1965,0,7,2,11,0,,2018-196502
196502,9996,9996,312,6,9996,6416,6,1,2018,10,19,0259005,0,0,34,02,2218,1,NJOC2218.pdf,00131746.tif,ORIGINAL,330,1965,0,4,2,8,0,,2018-196502
196502,9996,9996,316,6,9996,6416,6,1,2018,10,19,0259005,0,0,34,02,2218,1,NJOC2218.pdf,00131746.tif,ORIGINAL,330,1965,0,3,2,7,0,,2018-196502
189301,9996,9996,321,6,9996,6416,10,1,2018,10,14,0290894,0,0,34,01,1213,1,NJOC1213.pdf,00131448.tif,ORIGINAL,330,1893,0,1,2,1,0,,2018-189301
189301,9996,9996,327,6,9996,6416,10,1,2018,10,14,0290894,0,0,34,01,1213,1,NJOC1213.pdf,00131448.tif,ORIGINAL,330,1893,0,4,2,4,0,,2018-189301
189301,9996,9996,334,6,9996,6416,10,1,2018,10,14,0290894,0,0,34,01,1213,1,NJOC1213.pdf,00131448.tif,ORIGINAL,330,1893,0,3,2,3,0,,2018-189301
183202,9996,9996,396,8,9996,6783,2,1,2018,10,14,0051599,0,0,10,02,1107,1,DEOC1107.pdf,00131192.tif,ORIGINAL,1050,1832,0,1,3,56,1,LENGTH;,2018-183202
183202,9996,9996,412,8,9996,6783,2,1,2018,10,14,0051599,0,0,10,02,1107,1,DEOC1107.pdf,00131192.tif,ORIGINAL,1050,1832,0,4,3,59,0,,2018-183202
