tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,q11a,id
503101,25,01,1117,190,0,,7821,24,3,2,2021,09,05,0010285,0,0,2,MASE1117.pdf,00170234.tif,ORIGINAL,BLUEFISH,230,5031,1,5,0,0,0,0,0,1,2021-503101
503103,25,03,1117,191,0,,7821,24,3,2,2021,09,05,0010285,0,0,2,MASE1117.pdf,00170237.tif,ORIGINAL,ATLANTIC MACKEREL,2120,5031,1,2,0,8,0,0,0,3,2021-503103
503104,25,04,1117,192,0,,7821,24,1,2,2021,09,05,0010285,0,0,2,MASE1117.pdf,00170239.tif,ORIGINAL,BLUEFISH,230,5031,1,3,0,0,0,0,0,3,2021-503104
503105,25,05,1117,193,0,,7821,24,3,1,2021,09,05,0010285,0,0,2,MASE1117.pdf,00170241.tif,ORIGINAL,BLUEFISH,230,5031,1,2,0,0,0,0,0,1,2021-503105
503106,25,06,1117,194,0,,7821,24,3,2,2021,09,05,0010285,0,0,2,MASE1117.pdf,00170243.tif,ORIGINAL,BLUEFISH,230,5031,1,2,0,0,0,0,0,1,2021-503106
503201,25,01,1118,196,0,,7822,2,3,2,2021,09,05,0010273,0,0,2,MASE1118.pdf,00170247.tif,ORIGINAL,BFT GIANT,4671,5032,1,1,1,0,0,1,0,1,2021-503201
503201,25,01,1118,195,0,,7822,2,3,2,2021,09,05,0010273,0,0,2,MASE1118.pdf,00170247.tif,ORIGINAL,BLUEFISH,230,5032,2,0,0,5,0,0,0,1,2021-503201
503202,25,02,1118,197,0,,7822,2,3,2,2021,09,05,0010274,0,0,2,MASE1118.pdf,00170249.tif,ORIGINAL,BLUEFISH,230,5032,1,4,0,0,0,0,0,1,2021-503202
503203,25,03,1118,199,0,,7822,2,3,2,2021,09,05,0010274,0,0,2,MASE1118.pdf,00170251.tif,ORIGINAL,ATLANTIC MACKEREL,2120,5032,1,4,0,0,0,0,0,1,2021-503203
503203,25,03,1118,198,0,,7822,2,3,2,2021,09,05,0010274,0,0,2,MASE1118.pdf,00170251.tif,ORIGINAL,BLUEFISH,230,5032,2,3,0,0,0,0,0,1,2021-503203
503204,25,04,1118,202,0,,7822,2,3,2,2021,09,05,0010274,0,0,2,MASE1118.pdf,00170253.tif,ORIGINAL,ATLANTIC MACKEREL,2120,5032,1,3,0,0,0,0,0,1,2021-503204
503204,25,04,1118,200,0,,7822,2,3,2,2021,09,05,0010274,0,0,2,MASE1118.pdf,00170253.tif,ORIGINAL,BLUEFISH,230,5032,2,6,0,0,0,0,0,1,2021-503204
503204,25,04,1118,201,1,ALIVE;,7822,2,3,2,2021,09,05,0010274,0,0,2,MASE1118.pdf,00170253.tif,ORIGINAL,ATLANTIC BONITO,330,5032,3,0,0,150,0,0,0,1,2021-503204
503205,25,05,1118,203,0,,7822,2,3,2,2021,09,05,0010274,0,0,2,MASE1118.pdf,00170255.tif,ORIGINAL,BLUEFISH,230,5032,1,2,0,0,0,0,0,3,2021-503205
503205,25,05,1118,204,0,,7822,2,3,2,2021,09,05,0010274,0,0,2,MASE1118.pdf,00170255.tif,ORIGINAL,MENHADEN,2210,5032,2,12,0,0,0,0,0,3,2021-503205
503301,25,01,1123,208,0,,7633,15,1,5,2021,09,05,0090024,0,0,2,MASE1123.pdf,00170259.tif,ORIGINAL,SPINY DOGFISH,3521,5033,1,0,0,4,0,0,0,2,2021-503301
503301,25,01,1123,207,0,,7633,15,1,5,2021,09,05,0090024,0,0,2,MASE1123.pdf,00170259.tif,ORIGINAL,ATLANTIC MACKEREL,2120,5033,2,2,0,28,0,0,0,2,2021-503301
503301,25,01,1123,209,0,,7633,15,1,5,2021,09,05,0090024,0,0,2,MASE1123.pdf,00170259.tif,ORIGINAL,SILVER HAKE,5090,5033,3,0,0,3,0,0,0,2,2021-503301
503302,25,02,1123,211,0,,7633,15,1,2,2021,09,05,0090024,0,1,2,MASE1123.pdf,00170261.tif,REVISED,BFT SMALL MEDIUM,4676,5033,1,1,0,0,0,0,0,3,2021-503302
503302,25,02,1123,210,0,,7633,15,1,2,2021,09,05,0090024,0,1,2,MASE1123.pdf,00170261.tif,REVISED,HERRING,1670,5033,2,2,0,8,0,0,0,3,2021-503302
503303,25,03,1123,214,0,,7633,15,1,3,2021,09,05,0090024,0,0,2,MASE1123.pdf,00170263.tif,ORIGINAL,BFT GIANT,4671,5033,1,1,0,0,0,1,0,3,2021-503303
503303,25,03,1123,213,0,,7633,15,1,3,2021,09,05,0090024,0,0,2,MASE1123.pdf,00170263.tif,ORIGINAL,ATLANTIC MACKEREL,2120,5033,2,6,0,6,0,0,0,3,2021-503303
503303,25,03,1123,212,0,,7633,15,1,3,2021,09,05,0090024,0,0,2,MASE1123.pdf,00170263.tif,ORIGINAL,HERRING,1670,5033,3,6,0,0,0,0,0,3,2021-503303
503601,25,01,2102,243,0,,7821,24,3,2,2021,09,03,0010285,0,0,2,MASE2102.pdf,00170275.tif,ORIGINAL,BLUEFISH,230,5036,1,4,0,0,0,0,0,1,2021-503601
503701,25,01,2205,288,0,,7948,10,3,3,2021,09,01,0010922,0,0,2,MASE2205.pdf,00170279.tif,ORIGINAL,ATLANTIC MACKEREL,2120,5037,1,24,0,0,0,0,0,3,2021-503701
503701,25,01,2205,289,0,,7948,10,3,3,2021,09,01,0010922,0,0,2,MASE2205.pdf,00170279.tif,ORIGINAL,BFT GIANT,4671,5037,2,1,1,1,0,1,0,3,2021-503701
503701,25,01,2205,290,0,,7948,10,3,3,2021,09,01,0010922,0,0,2,MASE2205.pdf,00170279.tif,ORIGINAL,BFT LARGE SCHOOL,4678,5037,3,0,0,1,0,0,0,3,2021-503701
503702,25,02,2205,291,0,,7948,10,3,2,2021,09,01,0010922,0,0,1,MASE2205.pdf,00170281.tif,ORIGINAL,ATLANTIC MACKEREL,2120,5037,1,20,0,0,0,0,0,3,2021-503702
503702,25,02,2205,294,0,,7948,10,3,2,2021,09,01,0010922,0,0,1,MASE2205.pdf,00170281.tif,ORIGINAL,BFT LARGE SCHOOL,4678,5037,2,0,0,2,0,0,0,3,2021-503702
503702,25,02,2205,293,0,,7948,10,3,2,2021,09,01,0010922,0,0,1,MASE2205.pdf,00170281.tif,ORIGINAL,BFT SMALL MEDIUM,4676,5037,3,0,0,2,0,0,0,3,2021-503702
503702,25,02,2205,292,0,,7948,10,3,2,2021,09,01,0010922,0,0,1,MASE2205.pdf,00170281.tif,ORIGINAL,BFT GIANT,4671,5037,4,1,1,0,0,1,0,3,2021-503702
503703,25,03,2205,295,0,,7948,10,1,2,2021,09,01,0010922,0,1,2,MASE2205.pdf,00170283.tif,ORIGINAL,ATLANTIC MACKEREL,2120,5037,1,12,0,0,0,0,0,3,2021-503703
