tracker,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,c_index,cerrflag,cprobfld,id
11,6593,3,1,2012,08,19,0110880,0,0,09,01,1105,2,ctau1105.tif,00053876.tif,ORIGINAL,DOLPHIN,1050,1119,1,1,0,0,0,0,0,1,0,,2012-111901
11,6593,3,1,2012,08,19,0110880,0,0,09,01,1105,2,ctau1105.tif,00053876.tif,ORIGINAL,SKIPJACK TUNA,4661,1119,2,0,0,3,0,0,0,2,0,,2012-111901
11,6593,3,1,2012,08,19,0110833,0,0,09,02,1105,1,ctau1105.tif,00053878.tif,ORIGINAL,ATLANTIC BONITO,330,1119,2,0,0,2,0,0,0,3,0,,2012-111902
11,6593,3,1,2012,08,19,0110833,0,0,09,02,1105,1,ctau1105.tif,00053878.tif,ORIGINAL,SKIPJACK TUNA,4661,1119,3,0,0,1,0,0,0,4,0,,2012-111902
11,6593,3,1,2012,08,19,0110833,0,0,09,02,1105,1,ctau1105.tif,00053878.tif,ORIGINAL,ALBACORE TUNA,4701,1119,1,2,2,0,0,0,0,5,0,,2012-111902
11,6593,3,1,2012,08,19,0110630,0,0,09,03,1105,2,ctau1105.tif,00053880.tif,ORIGINAL,BLUE SHARK,4931,1119,1,0,0,2,0,0,0,6,0,,2012-111903
11,6593,3,1,2012,08,19,0110630,0,0,09,04,1105,2,ctau1105.tif,00053882.tif,ORIGINAL,SHORTFIN MAKO SHAR,3551,1119,2,0,0,1,0,0,0,7,0,,2012-111904
11,6593,3,1,2012,08,19,0110630,0,0,09,04,1105,2,ctau1105.tif,00053882.tif,ORIGINAL,LITTLE TUNNY,4681,1119,3,0,0,1,0,0,0,8,0,,2012-111904
11,6593,3,1,2012,08,19,0110630,0,0,09,04,1105,2,ctau1105.tif,00053882.tif,ORIGINAL,BLUE SHARK,4931,1119,1,0,0,1,0,0,0,9,0,,2012-111904
11,6593,3,1,2012,08,19,0119003,0,0,09,05,1105,2,ctau1105.tif,00053884.tif,ORIGINAL,SKIPJACK TUNA,4661,1119,1,0,0,1,0,0,0,10,0,,2012-111905
11,6593,3,1,2012,08,19,0110833,0,0,09,06,1105,2,ctau1105.tif,00053886.tif,ORIGINAL,BLUEFISH,230,1119,2,0,0,3,0,0,0,11,0,,2012-111906
11,6593,3,1,2012,08,19,0110833,0,0,09,06,1105,2,ctau1105.tif,00053886.tif,ORIGINAL,PORGY,3295,1119,3,0,0,4,0,0,0,12,1,ALIVE;,2012-111906
11,6593,3,1,2012,08,19,0110833,0,0,09,06,1105,2,ctau1105.tif,00053886.tif,ORIGINAL,BLACK SEA BASS,3350,1119,1,3,3,0,0,0,0,13,0,,2012-111906
11,6593,3,1,2012,08,19,0110833,0,0,09,06,1105,2,ctau1105.tif,00053886.tif,ORIGINAL,SPINY DOGFISH,3521,1119,4,0,0,2,0,0,0,14,0,,2012-111906
11,6593,3,1,2012,08,19,0110880,0,0,09,07,1105,2,ctau1105.tif,00053888.tif,ORIGINAL,BLUEFISH,230,1119,1,0,0,4,0,0,0,15,0,,2012-111907
11,6593,3,1,2012,08,19,0110880,0,0,09,07,1105,2,ctau1105.tif,00053888.tif,ORIGINAL,STRIPED BASS,4180,1119,2,0,0,8,0,0,0,16,0,,2012-111907
10,6775,3,1,2012,08,03,0110630,0,0,09,01,2202,2,ctau2202.tif,00053239.tif,ORIGINAL,BLUEFISH,230,1020,1,1,1,0,0,0,0,17,0,,2012-102001
10,6775,3,1,2012,08,14,0110630,0,0,09,01,2102,2,ctau2102.tif,00053782.tif,ORIGINAL,DOLPHIN,1050,1097,2,0,0,1,0,0,0,18,0,,2012-109701
10,6775,3,1,2012,08,14,0110630,0,0,09,01,2102,2,ctau2102.tif,00053782.tif,ORIGINAL,BLUE SHARK,4931,1097,1,0,0,2,0,0,0,19,0,,2012-109701
08,7431,3,1,2012,08,04,0110630,0,0,09,01,1108,2,ctau1108.tif,00052183.tif,ORIGINAL,SKIPJACK TUNA,4661,0896,2,0,0,1,0,0,0,20,0,,2012-089601
08,7431,3,1,2012,08,04,0110630,0,0,09,01,1108,2,ctau1108.tif,00052183.tif,ORIGINAL,YFT,4711,0896,1,1,0,0,0,0,0,21,0,,2012-089601
08,7431,3,3,2012,08,04,0119107,0,0,09,02,1108,2,ctau1108.tif,00052185.tif,ORIGINAL,SHORTFIN MAKO SHAR,3551,0896,1,1,0,0,0,0,0,22,0,,2012-089602
08,7431,3,3,2012,08,04,0119107,0,0,09,02,1108,2,ctau1108.tif,00052185.tif,ORIGINAL,BLUE SHARK,4931,0896,2,0,0,1,0,0,0,23,0,,2012-089602
09,6447,2,1,2012,08,04,0051599,0,0,10,06,1205,2,deau1205.tif,00052212.tif,ORIGINAL,WHITE MARLIN,2161,0905,1,0,0,3,0,0,0,24,0,,2012-090506
