intcode,cluster,sitetype,year,month,day,tracker,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,upprbill,lowerjaw,length,gender,curve,prep,recno,q11a,s_index,serrflag,sprobfld,id
7661,1,1,2016,06,20,024303,8100002,0,0,51,03,2116,1,VAJN2116.pdf,00096013.tif,ORIGINAL,330,0243,9996,9996,686,6,9996,0,5,3,1,1,LENGTH;,2016-024303
7662,1,1,2016,06,09,007703,8100002,0,0,51,03,2102,1,VAJN2102.pdf,00095200.tif,ORIGINAL,1050,0077,9996,9996,530,2,9996,0,2,3,166,0,,2016-007703
7617,3,1,2016,06,22,028102,8100088,0,0,51,02,2219,1,VAJN2219.pdf,00096162.tif,ORIGINAL,1050,0281,9996,9996,568,2,9996,0,5,3,117,0,,2016-028102
6936,5,1,2016,06,11,009704,0471493,0,0,24,04,1201,1,MDJN1201.pdf,00095268.tif,ORIGINAL,1050,0097,9996,9996,570,2,9996,0,4,3,19,0,,2016-009704
6936,5,1,2016,06,11,009706,0471493,0,0,24,06,1201,1,MDJN1201.pdf,00095272.tif,ORIGINAL,1050,0097,9996,9996,602,2,9996,0,3,3,24,0,,2016-009706
7661,1,1,2016,06,15,018311,8100091,0,0,51,11,2104,1,VAJN2104.pdf,00095697.tif,ORIGINAL,1050,0183,9996,9996,612,2,9996,0,1,2,150,0,,2016-018311
7661,1,1,2016,06,12,008001,8100002,0,0,51,01,1205,1,VAJN1205.pdf,00095212.tif,ORIGINAL,1050,0080,9996,9996,621,2,9996,0,6,3,126,0,,2016-008001
6783,2,1,2016,06,16,019101,0051599,0,0,10,01,2204,1,DEJN2204.pdf,00095725.tif,ORIGINAL,1050,0191,9996,9996,622,2,9996,0,2,3,7,0,,2016-019101
7508,11,1,2016,06,27,036102,0090051,0,0,34,02,2127,1,NJJN2127.pdf,00096870.tif,ORIGINAL,1050,0361,9996,9996,627,2,9996,0,4,2,59,0,,2016-036102
7661,1,1,2016,06,12,008001,8100002,0,0,51,01,1205,1,VAJN1205.pdf,00095212.tif,ORIGINAL,1050,0080,9996,9996,633,1,9996,0,8,3,128,0,,2016-008001
6936,5,1,2016,06,26,033907,0471493,0,0,24,07,1204,1,MDJN1204.pdf,00096663.tif,ORIGINAL,1050,0339,9996,9996,634,2,9996,0,2,3,54,0,,2016-033907
7661,1,1,2016,06,15,018301,8100091,1,0,51,01,2104,1,VAJN2104.pdf,00095677.tif,ORIGINAL,1050,0183,9996,9996,639,2,9996,0,9,2,134,0,,2016-018301
6633,3,1,2016,06,04,002401,8100088,0,1,51,01,1105,1,VAJN1105.pdf,00094992.tif,ORIGINAL,1050,0024,9996,9996,640,2,9996,0,6,2,68,0,,2016-002401
6936,5,1,2016,06,14,015103,0471493,0,0,24,03,2106,1,MDJN2106.pdf,00095500.tif,ORIGINAL,1050,0151,9996,9996,644,2,9996,0,1,3,34,0,,2016-015103
7661,1,1,2016,06,15,018303,8100002,0,0,51,03,2104,1,VAJN2104.pdf,00095681.tif,ORIGINAL,1050,0183,9996,9996,651,1,9996,0,1,3,140,0,,2016-018303
7415,2,1,2016,06,15,024201,8100265,0,0,51,01,2109,1,VAJN2109.pdf,00096005.tif,ORIGINAL,1050,0242,9996,9996,657,2,9996,0,1,3,102,0,,2016-024201
6783,2,1,2016,06,27,038704,0051599,0,0,10,04,2209,1,DEJN2209.pdf,00097039.tif,ORIGINAL,1050,0387,9996,9996,662,1,9996,0,1,3,16,0,,2016-038704
6633,3,1,2016,06,04,002401,8100088,0,1,51,01,1105,1,VAJN1105.pdf,00094992.tif,ORIGINAL,1050,0024,9996,9996,666,2,9996,0,8,2,70,0,,2016-002401
6936,5,1,2016,06,11,009705,0471493,0,0,24,05,1201,1,MDJN1201.pdf,00095270.tif,ORIGINAL,1050,0097,9996,9996,673,2,9996,0,5,2,23,0,,2016-009705
7661,1,1,2016,06,15,018307,8100091,0,0,51,07,2104,1,VAJN2104.pdf,00095689.tif,ORIGINAL,1050,0183,9996,9996,673,2,9996,0,1,3,142,0,,2016-018307
6936,5,1,2016,06,26,033901,0471493,0,0,24,01,1204,1,MDJN1204.pdf,00096651.tif,ORIGINAL,1050,0339,9996,9996,678,2,9996,0,4,3,53,0,,2016-033901
7661,1,1,2016,06,15,018310,8100091,0,0,51,10,2104,1,VAJN2104.pdf,00095695.tif,ORIGINAL,1050,0183,9996,9996,678,1,9996,0,2,2,147,0,,2016-018310
7661,1,1,2016,06,12,008001,8100002,0,0,51,01,1205,1,VAJN1205.pdf,00095212.tif,ORIGINAL,1050,0080,9996,9996,679,1,9996,0,7,3,127,0,,2016-008001
7662,1,1,2016,06,09,007702,8100091,0,0,51,02,2102,1,VAJN2102.pdf,00095198.tif,ORIGINAL,1050,0077,9996,9996,680,2,9996,0,2,2,163,0,,2016-007702
6633,3,1,2016,06,04,002401,8100088,0,1,51,01,1105,1,VAJN1105.pdf,00094992.tif,ORIGINAL,1050,0024,9996,9996,682,2,9996,0,2,2,64,0,,2016-002401
6783,8,1,2016,06,24,032206,0010039,1,0,51,06,2115,1,VAJN2115.pdf,00096505.tif,ORIGINAL,1050,0322,9996,9996,682,2,9996,0,3,2,98,0,,2016-032206
