id,tracker,year,month,stcode,control,docno,species,length,curve,upprbill,lowerjaw,gender,prep
2004-000201,000201,2004,06,51,2202,01,1050,791,9996,9996,9996,2,0
2004-000201,000201,2004,06,51,2202,01,1050,900,9996,9996,9996,2,0
2004-000201,000201,2004,06,51,2202,01,1050,972,9996,9996,9996,2,0
2004-000201,000201,2004,06,51,2202,01,4711,691,9996,9996,9996,6,0
2004-000201,000201,2004,06,51,2202,01,4711,966,9996,9996,9996,6,0
2004-000201,000201,2004,06,51,2202,01,4711,999,9996,9996,9996,6,0
2004-000202,000202,2004,06,51,2202,02,1050,309,9996,9996,9996,2,0
2004-000202,000202,2004,06,51,2202,02,1050,341,9996,9996,9996,2,0
2004-000202,000202,2004,06,51,2202,02,1050,709,9996,9996,9996,2,0
2004-000202,000202,2004,06,51,2202,02,1050,723,9996,9996,9996,2,0
2004-000202,000202,2004,06,51,2202,02,1050,809,9996,9996,9996,2,0
2004-000202,000202,2004,06,51,2202,02,1050,849,9996,9996,9996,2,0
2004-000202,000202,2004,06,51,2202,02,4711,934,9996,9996,9996,6,0
2004-000601,000601,2004,06,10,2106,01,3531,2010,9996,9996,9996,2,0
2004-000901,000901,2004,06,24,2103,01,3551,2405,9996,9996,9996,6,0
2004-001001,001001,2004,06,51,1105,01,1050,792,9996,9996,9996,1,0
2004-001001,001001,2004,06,51,1105,01,4711,936,9996,9996,9996,6,0
2004-001001,001001,2004,06,51,1105,01,4711,948,9996,9996,9996,6,0
2004-001001,001001,2004,06,51,1105,01,4711,951,9996,9996,9996,6,0
2004-001001,001001,2004,06,51,1105,01,4711,968,9996,9996,9996,6,0
2004-001001,001001,2004,06,51,1105,01,4711,983,9996,9996,9996,6,0
2004-001001,001001,2004,06,51,1105,01,4711,992,9996,9996,9996,6,0
2004-001001,001001,2004,06,51,1105,01,4711,994,9996,9996,9996,6,0
2004-001001,001001,2004,06,51,1105,01,4711,1008,9996,9996,9996,6,0
2004-001001,001001,2004,06,51,1105,01,4711,1038,9996,9996,9996,6,0
2004-001102,001102,2004,06,10,1105,02,3551,1730,9996,9996,9996,6,0
2004-001103,001103,2004,06,10,1105,03,3551,1650,9996,9996,9996,6,0
2004-001201,001201,2004,06,51,1208,01,1050,940,9996,9996,9996,1,0
2004-001201,001201,2004,06,51,1208,01,1050,980,9996,9996,9996,1,0
2004-001201,001201,2004,06,51,1208,01,1050,800,9996,9996,9996,2,0
2004-001201,001201,2004,06,51,1208,01,4681,680,9996,9996,9996,6,0
2004-001201,001201,2004,06,51,1208,01,4711,860,9996,9996,9996,6,0
2004-001201,001201,2004,06,51,1208,01,4711,935,9996,9996,9996,6,0
2004-001201,001201,2004,06,51,1208,01,4711,960,9996,9996,9996,6,0
2004-001201,001201,2004,06,51,1208,01,4711,970,9996,9996,9996,6,0
2004-001203,001203,2004,06,51,1208,03,3551,1280,9996,9996,9996,6,0
2004-001204,001204,2004,06,51,1208,04,1050,770,9996,9996,9996,2,0
2004-001204,001204,2004,06,51,1208,04,4711,960,9996,9996,9996,6,0
2004-001205,001205,2004,06,51,1208,05,4711,1300,9996,9996,9996,6,0
2004-001301,001301,2004,06,51,1205,01,330,652,9996,9996,9996,6,0
2004-001301,001301,2004,06,51,1205,01,4661,520,9996,9996,9996,6,0
2004-001301,001301,2004,06,51,1205,01,4711,690,9996,9996,9996,6,0
2004-001301,001301,2004,06,51,1205,01,4711,801,9996,9996,9996,6,0
2004-001301,001301,2004,06,51,1205,01,4711,950,9996,9996,9996,6,0
2004-001305,001305,2004,06,51,1205,05,4711,950,9996,9996,9996,6,0
2004-001305,001305,2004,06,51,1205,05,4711,980,9996,9996,9996,6,0
2004-001305,001305,2004,06,51,1205,05,4711,981,9996,9996,9996,6,0
2004-001305,001305,2004,06,51,1205,05,4711,1010,9996,9996,9996,6,0
2004-001403,001403,2004,06,24,1202,03,3551,1682,9996,9996,9996,6,0
2004-001601,001601,2004,06,24,2210,01,3551,1755,9996,9996,9996,6,0
2004-001903,001903,2004,06,34,2204,03,3551,1503,9996,9996,9996,6,0
2004-001903,001903,2004,06,34,2204,03,3551,1700,9996,9996,9996,6,0
2004-002001,002001,2004,06,24,2203,01,3551,1830,9996,9996,9996,6,0
2004-002201,002201,2004,06,51,2106,01,4711,870,9996,9996,9996,6,0
2004-002202,002202,2004,06,51,2106,02,1050,691,9996,9996,9996,2,0
2004-002202,002202,2004,06,51,2106,02,4711,1005,9996,9996,9996,6,0
2004-002203,002203,2004,06,51,2106,03,1050,688,9996,9996,9996,2,0
2004-002203,002203,2004,06,51,2106,03,4711,895,9996,9996,9996,6,0
2004-002203,002203,2004,06,51,2106,03,4711,941,9996,9996,9996,6,0
2004-002203,002203,2004,06,51,2106,03,4711,952,9996,9996,9996,6,0
2004-002203,002203,2004,06,51,2106,03,4711,960,9996,9996,9996,6,0
2004-002203,002203,2004,06,51,2106,03,4711,969,9996,9996,9996,6,0
2004-002204,002204,2004,06,51,2106,04,1050,1123,9996,9996,9996,1,0
2004-002204,002204,2004,06,51,2106,04,1050,651,9996,9996,9996,2,0
2004-003101,003101,2004,06,51,1110,01,1050,732,9996,9996,9996,2,0
2004-003101,003101,2004,06,51,1110,01,1050,815,9996,9996,9996,2,0
2004-003101,003101,2004,06,51,1110,01,1050,874,9996,9996,9996,2,0
2004-003101,003101,2004,06,51,1110,01,3551,1415,9996,9996,9996,6,0
2004-003101,003101,2004,06,51,1110,01,4711,1089,9996,9996,9996,6,0
2004-003102,003102,2004,06,51,1110,02,1050,1023,9996,9996,9996,1,0
2004-003102,003102,2004,06,51,1110,02,2171,9996,9996,2812,2455,6,0
2004-003102,003102,2004,06,51,1110,02,4711,945,9996,9996,9996,6,0
2004-003103,003103,2004,06,51,1110,03,1050,634,9996,9996,9996,1,0
2004-003103,003103,2004,06,51,1110,03,4711,902,9996,9996,9996,6,0
2004-003103,003103,2004,06,51,1110,03,4711,921,9996,9996,9996,6,0
2004-003104,003104,2004,06,51,1110,04,1050,1023,9996,9996,9996,1,0
2004-003104,003104,2004,06,51,1110,04,4661,505,9996,9996,9996,6,0
2004-003104,003104,2004,06,51,1110,04,4711,950,9996,9996,9996,6,0
2004-003104,003104,2004,06,51,1110,04,4711,983,9996,9996,9996,6,0
2004-003104,003104,2004,06,51,1110,04,4711,1023,9996,9996,9996,6,0
2004-003104,003104,2004,06,51,1110,04,4711,1067,9996,9996,9996,6,0
2004-003302,003302,2004,06,24,1106,02,3551,1770,9996,9996,9996,6,0
2004-003304,003304,2004,06,24,1106,04,3551,1489,9996,9996,9996,6,0
2004-003401,003401,2004,06,51,1202,01,1050,800,9996,9996,9996,8,0
2004-003401,003401,2004,06,51,1202,01,4711,930,9996,9996,9996,6,0
2004-003401,003401,2004,06,51,1202,01,4711,940,9996,9996,9996,6,0
2004-003401,003401,2004,06,51,1202,01,4711,940,9996,9996,9996,6,0
2004-003401,003401,2004,06,51,1202,01,4711,970,9996,9996,9996,6,0
2004-003401,003401,2004,06,51,1202,01,4711,1040,9996,9996,9996,6,0
2004-003401,003401,2004,06,51,1202,01,4711,1060,9996,9996,9996,6,0
2004-003703,003703,2004,06,51,1108,03,1050,670,9996,9996,9996,2,0
2004-003703,003703,2004,06,51,1108,03,4711,900,9996,9996,9996,6,0
2004-003703,003703,2004,06,51,1108,03,4711,930,9996,9996,9996,6,0
2004-003703,003703,2004,06,51,1108,03,4711,1020,9996,9996,9996,6,0
2004-003703,003703,2004,06,51,1108,03,4711,1070,9996,9996,9996,6,0
2004-003704,003704,2004,06,51,1108,04,4711,970,9996,9996,9996,6,0
2004-003704,003704,2004,06,51,1108,04,4711,980,9996,9996,9996,6,0
2004-003704,003704,2004,06,51,1108,04,4711,1060,9996,9996,9996,6,0
2004-003705,003705,2004,06,51,1108,05,1050,704,9996,9996,9996,1,0
2004-003705,003705,2004,06,51,1108,05,4711,790,9996,9996,9996,6,0
2004-003705,003705,2004,06,51,1108,05,4711,902,9996,9996,9996,6,0
2004-003706,003706,2004,06,51,1108,06,4711,704,9996,9996,9996,6,0
2004-003706,003706,2004,06,51,1108,06,4711,902,9996,9996,9996,6,0
2004-003709,003709,2004,06,51,1108,09,4711,906,9996,9996,9996,6,0
2004-003709,003709,2004,06,51,1108,09,4711,940,9996,9996,9996,6,0
2004-003901,003901,2004,06,24,1205,01,1050,961,9996,9996,9996,1,0
2004-003901,003901,2004,06,24,1205,01,4711,887,9996,9996,9996,6,0
2004-003901,003901,2004,06,24,1205,01,4711,1026,9996,9996,9996,6,0
2004-003901,003901,2004,06,24,1205,01,4711,1041,9996,9996,9996,6,0
2004-003903,003903,2004,06,24,1205,03,3551,1764,9996,9996,9996,6,0
2004-003905,003905,2004,06,24,1205,05,4711,814,9996,9996,9996,6,0
2004-003905,003905,2004,06,24,1205,05,4711,882,9996,9996,9996,6,0
2004-003905,003905,2004,06,24,1205,05,4711,919,9996,9996,9996,6,0
2004-003905,003905,2004,06,24,1205,05,4711,934,9996,9996,9996,6,0
2004-003905,003905,2004,06,24,1205,05,4711,961,9996,9996,9996,6,0
2004-003905,003905,2004,06,24,1205,05,4711,1014,9996,9996,9996,6,0
2004-003905,003905,2004,06,24,1205,05,4711,1114,9996,9996,9996,6,0
2004-004003,004003,2004,06,10,1201,03,3551,1837,9996,9996,9996,6,0
2004-004005,004005,2004,06,10,1201,05,3551,1843,9996,9996,9996,6,0
2004-004007,004007,2004,06,10,1201,07,3551,1538,9996,9996,9996,6,0
2004-004008,004008,2004,06,10,1201,08,3551,1514,9996,9996,9996,6,0
2004-004013,004013,2004,06,10,1201,13,3551,1826,9996,9996,9996,6,0
2004-004501,004501,2004,06,51,2101,01,1050,810,9996,9996,9996,1,0
2004-004501,004501,2004,06,51,2101,01,1050,723,9996,9996,9996,2,0
2004-004501,004501,2004,06,51,2101,01,1050,778,9996,9996,9996,2,0
2004-004501,004501,2004,06,51,2101,01,4711,942,9996,9996,9996,6,0
2004-004501,004501,2004,06,51,2101,01,4711,943,9996,9996,9996,6,0
2004-004501,004501,2004,06,51,2101,01,4711,953,9996,9996,9996,6,0
2004-004501,004501,2004,06,51,2101,01,4711,982,9996,9996,9996,6,0
2004-004901,004901,2004,06,51,2206,01,4711,860,9996,9996,9996,6,0
2004-004902,004902,2004,06,51,2206,02,4711,1000,9996,9996,9996,6,0
2004-004902,004902,2004,06,51,2206,02,4711,1010,9996,9996,9996,6,0
2004-004903,004903,2004,06,51,2206,03,4711,960,9996,9996,9996,6,0
2004-004903,004903,2004,06,51,2206,03,4711,1000,9996,9996,9996,6,0
2004-005001,005001,2004,06,10,2102,01,3551,1500,9996,9996,9996,6,0
2004-005904,005904,2004,06,34,1206,04,3531,2311,9996,9996,9996,2,0
2004-005905,005905,2004,06,34,1206,05,3551,2324,9996,9996,9996,6,0
2004-005907,005907,2004,06,34,1206,07,3551,1841,9996,9996,9996,6,0
2004-005914,005914,2004,06,34,1206,14,4931,2324,9996,9996,9996,2,0
2004-006001,006001,2004,06,34,1107,01,3551,1801,9996,9996,9996,6,0
2004-006002,006002,2004,06,34,1107,02,3551,2115,9996,9996,9996,6,0
2004-006003,006003,2004,06,34,1107,03,3551,2108,9996,9996,9996,6,0
2004-006004,006004,2004,06,34,1107,04,3551,2009,9996,9996,9996,6,0
2004-006005,006005,2004,06,34,1107,05,3551,2003,9996,9996,9996,6,0
2004-006006,006006,2004,06,34,1107,06,3551,1831,9996,9996,9996,6,0
2004-006007,006007,2004,06,34,1107,07,3551,1801,9996,9996,9996,6,0
2004-006008,006008,2004,06,34,1107,08,3551,2100,9996,9996,9996,6,0
