tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
428801,6,09,CT,6,01,6,6,W ATLANTIS,6773,09,1300,1105,0630,3,1,1,2,2,1,1250,4711,4328,2,2,9,17,0,1,1,1,0,1,0,0,5,4004,7027,100,1000,78,1,2,1,CTAU1105.pdf,00166627.tif,2021,0,0,0,ORIGINAL,08,08,22500,4288,0110630,011,3,351,0,,Y,1,2021-428801
428802,6,09,CT,6,02,6,6,FISH TALES,6773,09,1330,1105,3879,3,1,1,2,2,1,1330,4711,4328,2,12,11,21,0,1,1,1,1,1,0,0,5,4000,7120,70,1000,75,1,2,1,CTAU1105.pdf,00166629.tif,2021,0,0,0,ORIGINAL,08,08,22500,4288,0113879,011,3,347,0,,Y,2,2021-428802
428803,6,09,CT,6,03,6,JIGGING,W ATLANTIS,6773,09,1420,1105,0833,3,1,1,2,2,1,1350,4711,4328,2,12,10,10,1,1,1,1,1,1,1,1,6,4004,7027,100,1000,75,2,2,1,CTAU1105.pdf,00166631.tif,2021,0,0,0,ORIGINAL,08,08,22500,4288,0110833,011,3,350,0,,Y,1,2021-428803
428804,6,09,CT,6,04,6,6,W ATLANTIS,6773,09,1457,1105,0833,3,1,1,2,2,1,1455,4328,4691,2,2,9,24,0,1,1,1,0,1,0,0,5,4004,7027,997,600,77,1,2,1,CTAU1105.pdf,00166633.tif,2021,0,1,0,ORIGINAL,08,08,22500,4288,0110833,011,3,352,0,,Y,1,2021-428804
428805,6,09,CT,6,05,6,JIGGING,W ATLANTIS,6773,09,1625,1105,3879,3,1,1,2,3,1,1615,4711,4328,2,2,9,30,0,1,1,1,1,1,0,1,5,4004,7027,90,1800,75,1,2,1,CTAU1105.pdf,00166636.tif,2021,0,0,0,ORIGINAL,08,08,22500,4288,0113879,011,3,348,0,,Y,1,2021-428805
428806,6,09,CT,6,06,6,6,RANGER WRECK,6773,09,1650,1105,0630,3,1,1,2,2,1,1530,4711,1050,2,2,6,5,0,0,1,1,0,0,0,0,3,4035,7147,55,185,71,1,2,1,CTAU1105.pdf,00166638.tif,2021,0,0,0,ORIGINAL,08,08,22500,4288,0110630,011,3,353,0,,N,1,2021-428806
428807,6,09,CT,6,07,6,6,W ATLANTIS,6773,09,1750,1105,3879,3,1,1,2,3,1,1745,4711,4691,2,2,11,24,0,1,1,1,0,1,0,0,5,4004,7027,98,1300,77,1,2,1,CTAU1105.pdf,00166640.tif,2021,0,0,0,ORIGINAL,08,08,22500,4288,0113879,011,3,349,0,,Y,2,2021-428807
429401,6,09,CT,6,01,6,6,6 MI SOUTH MONTAUK,6773,09,1639,2212,0630,3,1,1,2,2,2,1632,3531,9996,2,1,1,5,0,1,0,0,1,0,0,0,3,9998,9998,6,120,98,1,2,1,CTAU2212.pdf,00166661.tif,2021,0,0,0,ORIGINAL,08,06,22498,4294,0110630,011,3,370,0,,N,1,2021-429401
429601,6,10,DE,6,01,6,6,HOT DOG,6783,10,1703,1204,1599,2,1,1,2,2,1,1650,4711,9996,2,2,9,6,0,1,1,1,0,0,0,0,3,3806,7417,50,150,74,1,2,1,DEAU1204.pdf,00166667.tif,2021,0,0,0,ORIGINAL,08,07,22499,4296,0051599,005,6,382,0,,Y,2,2021-429601
429602,6,10,DE,6,02,6,6,WILMINGTON CANYON,6783,10,1725,1204,1599,2,1,2,1,3,1,1712,4711,1050,2,2,10,7,0,1,0,0,0,1,0,0,3,3824,7327,60,600,75,2,2,1,DEAU1204.pdf,00166669.tif,2021,0,0,0,ORIGINAL,08,07,22499,4296,0051599,005,6,381,0,,Y,1,2021-429602
429603,6,42,PA,6,03,6,6,SOUTH HAYS,6783,10,1818,1204,1599,2,1,1,2,2,1,1752,4656,9996,2,1,7,8,0,1,1,1,0,0,0,0,7,9998,9998,90,5400,76,1,2,1,DEAU1204.pdf,00166671.tif,2021,0,0,0,ORIGINAL,08,07,22499,4296,0051599,005,6,380,0,,Y,1,2021-429603
429701,5200,10,DE,WHITE MARLIN OPEN,01,6,6,HOT DOG,6783,10,1755,2105,1599,2,1,1,2,2,1,1748,2161,9996,1,12,4,7,0,1,1,1,0,0,0,0,3,3806,7417,46,120,77,1,2,1,DEAU2105.pdf,00166675.tif,2021,1,1,0,ORIGINAL,08,05,22497,4297,0051599,005,6,198,0,,Y,2,2021-429701
429702,6,10,DE,6,02,6,6,TRIPLE ZEROS,6783,10,1932,2105,1599,2,1,1,2,2,1,1918,2161,9996,2,1,5,7,0,1,1,1,0,0,0,0,4,9998,9998,70,1200,76,1,1,1,DEAU2105.pdf,00166677.tif,2021,0,1,0,ORIGINAL,08,05,22497,4297,0051599,005,6,399,0,,Y,2,2021-429702
429801,6,10,DE,6,01,6,6,BALTIMORE CANYON,6783,10,1635,2106,1599,2,3,1,2,2,1,1632,4656,9996,2,12,7,8,0,1,1,1,0,0,0,0,3,3814,7350,70,600,75,1,2,1,DEAU2106.pdf,00166681.tif,2021,1,0,0,ORIGINAL,08,09,22501,4298,0051599,005,6,402,0,,Y,2,2021-429801
429802,6,10,DE,6,02,6,6,WILMINGTON CANYON,6783,10,1650,2106,1599,2,1,1,2,2,1,1645,4711,9996,2,2,7,5,0,1,1,1,0,0,0,0,4,3824,7327,75,440,79,1,2,1,DEAU2106.pdf,00166683.tif,2021,0,0,0,ORIGINAL,08,09,22501,4298,0051599,005,6,401,0,,Y,2,2021-429802
429803,6,10,DE,6,03,6,6,BALTIMORE CANYON,6783,10,1708,2106,1599,2,1,1,2,2,1,1703,1050,9996,2,2,8,1,0,1,1,1,0,0,0,0,3,3814,7350,70,1200,74,1,2,1,DEAU2106.pdf,00166685.tif,2021,0,0,0,ORIGINAL,08,09,22501,4298,0051599,005,6,403,0,,Y,2,2021-429803
429804,6,10,DE,6,04,6,6,WILMINGTON CANYON,6783,10,1724,2106,1599,2,1,2,1,3,1,1715,4711,9996,2,2,7,7,0,1,1,1,0,0,0,0,6,3824,7327,70,800,72,2,2,1,DEAU2106.pdf,00166687.tif,2021,0,0,0,ORIGINAL,08,09,22501,4298,0051599,005,6,400,0,,Y,2,2021-429804
429901,6,10,DE,6,01,6,6,BALTIMORE CANYON,6783,10,1715,2204,1599,2,1,2,1,3,1,1706,4656,9996,2,2,11,9,0,1,1,1,0,0,0,0,8,3814,7350,40,600,78,2,2,1,DEAU2204.pdf,00166691.tif,2021,1,0,0,ORIGINAL,08,02,22494,4299,0051599,005,6,418,0,,Y,2,2021-429901
