stcode,control,docno,c_index,cerrflag,cprobfld,faxno,batch,intcode,tifno,cluster,sitetype,q11a,q23,filestat,month,day,tracker,year,enterr,interr,site_no,othlp,species,row,kept,observe,alive,dead,sell,weighed,measur,id
24,2102,04,146,0,,MDJN2102.pdf,2813,6936,00159934.tif,5,1,3,6,ORIGINAL,06,01,281304,2021,0,0,0471493,BLUELINE TILEFISH,4440,2,21,21,0,0,0,0,2,2021-281304
24,2102,05,150,0,,MDJN2102.pdf,2813,6936,00159936.tif,5,1,3,6,ORIGINAL,06,01,281305,2021,0,0,0471493,BFT SCHOOL,4677,1,1,1,0,0,0,0,2,2021-281305
24,2102,05,149,0,,MDJN2102.pdf,2813,6936,00159936.tif,5,1,3,6,ORIGINAL,06,01,281305,2021,0,0,0471493,BLUELINE TILEFISH,4440,2,10,10,0,0,0,0,2,2021-281305
24,2102,05,148,0,,MDJN2102.pdf,2813,6936,00159936.tif,5,1,3,6,ORIGINAL,06,01,281305,2021,0,0,0471493,BLACK SEA BASS,3350,3,41,41,0,0,0,0,2,2021-281305
24,2104,01,152,0,,MDJN2104.pdf,2815,6447,00159942.tif,3,1,3,2,ORIGINAL,06,02,281501,2021,0,0,0470853,SANDBAR SHARK,4821,1,0,0,2,0,0,0,2,2021-281501
24,2104,01,153,0,,MDJN2104.pdf,2815,6447,00159942.tif,3,1,3,2,ORIGINAL,06,02,281501,2021,0,0,0470853,DUSKY SHARK,4841,2,0,0,3,0,0,0,2,2021-281501
24,2104,01,151,1,ALIVE;,MDJN2104.pdf,2815,6447,00159942.tif,3,1,3,2,ORIGINAL,06,02,281501,2021,0,0,0470853,SMOOTH DOGFISH,3511,3,0,0,1,0,0,0,2,2021-281501
24,2104,02,154,0,,MDJN2104.pdf,2815,6447,00159944.tif,3,1,2,3,ORIGINAL,06,02,281502,2021,0,0,0470853,BFT SCHOOL,4677,1,2,0,0,0,0,0,2,2021-281502
24,2104,03,157,0,,MDJN2104.pdf,2815,6447,00159946.tif,3,1,3,6,ORIGINAL,06,02,281503,2021,0,0,0470853,BFT SCHOOL,4677,1,3,0,0,0,0,0,2,2021-281503
24,2104,03,155,0,,MDJN2104.pdf,2815,6447,00159946.tif,3,1,3,6,ORIGINAL,06,02,281503,2021,0,0,0470853,BLACK SEA BASS,3350,2,20,0,0,0,0,0,2,2021-281503
24,2104,03,156,0,,MDJN2104.pdf,2815,6447,00159946.tif,3,1,3,6,ORIGINAL,06,02,281503,2021,0,0,0470853,BLUELINE TILEFISH,4440,3,8,0,0,0,0,0,2,2021-281503
24,2104,04,158,0,,MDJN2104.pdf,2815,6447,00159948.tif,3,1,3,4,ORIGINAL,06,02,281504,2021,0,0,0470853,BFT SCHOOL,4677,1,3,0,7,0,0,0,2,2021-281504
24,2105,01,159,0,,MDJN2105.pdf,2816,7844,00159952.tif,3,1,3,5,ORIGINAL,06,03,281601,2021,0,1,0470853,BFT SCHOOL,4677,1,3,3,4,0,0,0,1,2021-281601
24,2105,01,160,0,,MDJN2105.pdf,2816,7844,00159952.tif,3,1,3,5,ORIGINAL,06,03,281601,2021,0,1,0470853,BFT LARGE SCHOOL,4678,2,1,1,0,0,0,0,1,2021-281601
