tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,tracker,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
6,10,DE,6,01,6,6,TRIPLE WRECKS,6447,10,1728,2206,1599,2,1,1,2,2,6,1700,3551,3531,2,12,5,7,0,0,1,0,1,0,0,3,3830,7432,30,126,60,1,2,1,DEJN2206.pdf,00070423.tif,2014,0,1,1,ORIGINAL,06,02,19876,209001,2090,0051599,005,6,152,1,Q27;,Y,2,2014-209001
6,25,MA,6,01,6,6,CRAB LEDGE,7282,25,1230,2115,9036,21,3,2,2,3,2,1230,4671,9996,2,1,3,8,1,0,0,1,0,0,0,2,4138,6955,15,200,50,1,2,2,MAJN2115.pdf,00070436.tif,2014,0,0,0,ORIGINAL,06,03,19877,209501,2095,0019036,001,2,340,1,Q27;,N,2,2014-209501
6,25,MA,6,01,6,6,STELLWAGEN BANK SW,6591,25,1400,2206,0217,8,3,1,2,1,2,1400,4671,9996,2,1,2,10,1,0,0,1,1,1,0,1,4210,7015,7,200,53,1,2,2,MAJN2206.pdf,00070439.tif,2014,0,0,0,ORIGINAL,06,02,19876,209601,2096,0230217,023,2,345,0,,Y,2,2014-209601
6,24,MD,6,01,6,6,JACKSPOT,6936,24,1720,2101,0856,4,3,1,2,2,2,1715,3551,3531,2,12,4,7,0,0,1,0,1,0,0,3,3805,7445,24,110,61,1,2,1,MDJN2101.pdf,00070444.tif,2014,0,0,0,ORIGINAL,06,03,19877,209801,2098,0470856,047,6,248,0,,Y,2,2014-209801
6,10,DE,6,01,6,6,MASSEYS CANYON,6783,10,1703,2204,1599,2,1,1,2,3,7,1600,3551,3531,2,2,4,7,0,0,1,0,1,0,0,3,3815,7430,32,120,64,1,2,1,DEJN2204.pdf,00070478.tif,2014,1,1,0,ORIGINAL,06,04,19878,210701,2107,0051599,005,6,150,0,,Y,2,2014-210701
6,25,MA,6,01,6,6,CHATHAM EAST,7405,25,1545,2101,9205,5,1,1,2,1,1,1400,4671,9996,2,2,2,8,0,1,0,1,0,0,0,1,4140,6955,30,450,53,2,2,2,MAJN2101.pdf,00070487.tif,2014,0,0,0,ORIGINAL,06,04,19878,211001,2110,0019205,001,2,339,0,,Y,2,2014-211001
6,51,VA,6,01,6,6,650 LINE,7415,51,1755,2108,0091,1,1,1,2,2,2,1737,4711,9996,2,2,7,8,0,0,1,1,0,0,0,7,9998,9998,35,3600,74,1,2,1,VAJN2108.pdf,00070492.tif,2014,0,0,0,ORIGINAL,06,04,19878,211201,2112,8100091,810,7,531,0,,Y,1,2014-211201
6,25,MA,6,01,6,6,ATLANTIS CANYON,6634,25,1700,1114,9028,11,1,1,2,2,1,1653,4711,4678,2,2,11,9,0,1,0,1,0,0,0,5,3947,7013,90,1200,70,1,2,1,MAJN1114.pdf,00070496.tif,2014,0,0,0,ORIGINAL,06,08,19882,211301,2113,0019028,001,2,302,0,,Y,2,2014-211301
6,25,MA,6,01,6,6,CRAB LEDGE,7282,25,1330,1115,9036,21,1,1,2,1,2,1300,4671,9996,2,2,4,8,0,1,1,1,0,0,0,3,4138,6955,6,350,52,1,1,2,MAJN1115.pdf,00070500.tif,2014,0,0,0,ORIGINAL,06,07,19881,211401,2114,0019036,001,2,304,0,,Y,2,2014-211401
6,25,MA,6,02,6,6,CRAB LEDGE,7282,25,1340,1115,9036,21,1,2,2,3,2,1330,4671,9996,2,2,5,7,0,1,0,1,0,0,0,4,4138,6955,6,268,57,1,2,2,MAJN1115.pdf,00070501.tif,2014,0,0,0,ORIGINAL,06,07,19881,211402,2114,0019036,001,2,303,0,,N,2,2014-211402
6,25,MA,6,01,6,6,STELLWAGEN BANK,7478,25,1727,1212,0024,15,1,2,1,3,7,1700,4671,9996,2,1,5,7,0,0,1,0,1,0,0,4,4216,7017,15,190,58,1,1,1,MAJN1212.pdf,00070506.tif,2014,0,1,0,ORIGINAL,06,08,19882,211601,2116,0090024,009,2,323,0,,Y,2,2014-211601
6,10,DE,6,01,6,6,JACKSPOT,6783,10,1620,1102,1599,2,1,1,2,2,1,1615,3551,3531,2,2,4,8,0,1,1,0,1,0,0,4,3805,7445,20,100,66,1,2,1,DEJN1102.pdf,00070462.tif,2014,0,0,0,ORIGINAL,06,08,19882,211701,2117,0051599,005,6,111,0,,Y,2,2014-211701
T500,10,DE,MAKO MANIA,02,6,6,BALTIMORE CANYON,6783,10,1651,1102,1599,2,1,1,2,2,1,1620,4711,9996,1,1,8,7,0,1,1,1,0,0,0,4,3814,7350,50,3000,67,1,2,1,DEJN1102.pdf,00070464.tif,2014,0,1,0,ORIGINAL,06,08,19882,211702,2117,0051599,005,6,836,0,,Y,1,2014-211702
6,10,DE,6,03,6,6,BALTIMORE CANYON,6783,10,1721,1102,1599,2,1,1,2,2,1,1711,4711,4678,2,2,8,7,0,1,1,1,0,0,0,4,3814,7350,70,1200,68,2,2,1,DEJN1102.pdf,00070466.tif,2014,0,0,0,ORIGINAL,06,08,19882,211703,2117,0051599,005,6,109,0,,Y,1,2014-211703
6,10,DE,6,04,6,6,BALTIMORE CANYON,6783,10,1754,1102,1599,2,1,1,2,2,6,1745,4711,4691,2,2,10,8,0,1,1,1,0,0,0,4,3814,7350,64,600,70,1,2,1,DEJN1102.pdf,00070468.tif,2014,0,1,1,ORIGINAL,06,08,19882,211704,2117,0051599,005,6,110,0,,N,2,2014-211704
6,25,MA,6,01,6,6,20 NE OF CHATH,6591,25,1300,1102,0922,10,3,1,2,3,2,1300,4671,9996,2,2,4,6,0,1,0,1,0,0,0,4,9998,9998,20,200,55,1,2,2,MAJN1102.pdf,00070511.tif,2014,0,0,0,ORIGINAL,06,07,19881,211801,2118,0010922,001,2,299,0,,N,2,2014-211801
6,25,MA,6,01,6,6,STELLWAGEN BANK SW,6591,25,1500,1116,0271,1,1,1,2,2,2,1500,4671,9996,2,2,4,5,1,1,1,1,0,0,0,3,4210,7015,2,200,56,1,2,2,MAJN1116.pdf,00070515.tif,2014,0,0,0,ORIGINAL,06,08,19882,211901,2119,0010271,001,2,305,0,,Y,2,2014-211901
6,25,MA,6,01,6,SPIN CASTING,CHATHAM EAST,7405,25,1645,1118,9036,21,3,1,2,2,6,1640,4656,9996,2,7,4,6,0,1,0,0,0,0,1,4,4140,6955,4,200,54,1,2,2,MAJN1118.pdf,00070518.tif,2014,1,1,1,ORIGINAL,06,08,19882,212001,2120,0019036,001,2,310,0,,N,2,2014-212001
6,25,MA,6,01,6,6,STELLWAGEN BANK SW,6591,25,1500,2122,9038,9,1,1,2,1,2,1500,4671,9996,2,1,2,6,1,0,0,1,0,0,0,1,4210,7015,12,180,54,1,2,2,MAJN2122.pdf,00070523.tif,2014,0,0,0,ORIGINAL,06,09,19883,212201,2122,0239038,023,2,341,0,,Y,2,2014-212201
6,36,NY,6,01,6,6,BUTTERFISH HOLE,7466,36,1545,1115,0085,4,1,2,1,3,7,1430,3591,9996,2,1,3,5,0,0,1,0,1,0,0,4,4050,7135,18,200,59,1,2,1,NYJN1115.pdf,00070527.tif,2014,0,1,0,ORIGINAL,06,07,19881,212301,2123,1030085,103,4,437,0,,N,2,2014-212301
6,51,VA,6,01,6,6,DUMPSITE,6633,51,1640,1109,0002,1,1,2,2,3,2,1600,3591,9996,2,12,6,4,1,0,1,0,0,1,0,6,9998,9998,4,50,76,1,2,1,VAJN1109.pdf,00070546.tif,2014,0,0,0,ORIGINAL,06,07,19881,212901,2129,8100002,810,7,477,0,,Y,2,2014-212901
6,51,VA,6,02,6,6,700 LINE,6633,51,1820,1109,0002,1,1,1,2,2,2,1800,4656,9996,2,2,10,8,0,0,1,1,0,0,0,8,9998,9998,45,600,72,1,1,1,VAJN1109.pdf,00070548.tif,2014,0,0,0,ORIGINAL,06,07,19881,212902,2129,8100002,810,7,479,0,,Y,1,2014-212902
6,51,VA,6,03,6,6,650 LINE,6633,51,1855,1109,0002,1,1,1,2,2,1,1640,4711,4691,2,12,7,8,0,0,1,1,0,0,0,5,9998,9998,45,1500,73,1,2,1,VAJN1109.pdf,00070550.tif,2014,0,0,0,ORIGINAL,06,07,19881,212903,2129,8100002,810,7,480,0,,Y,1,2014-212903
6,51,VA,6,04,6,6,THE POINT,6633,51,1915,1109,0091,1,1,1,2,2,2,1830,4711,9996,2,2,9,8,0,0,1,1,0,0,0,4,9998,9998,80,600,75,1,2,1,VAJN1109.pdf,00070552.tif,2014,0,0,0,ORIGINAL,06,07,19881,212904,2129,8100091,810,7,476,0,,N,2,2014-212904
6,51,VA,6,05,6,6,700 LINE,6633,51,1945,1109,0091,1,1,1,2,2,1,1910,4711,9996,2,2,12,12,0,0,1,1,0,0,0,8,9998,9998,85,1200,75,1,1,1,VAJN1109.pdf,00070554.tif,2014,0,0,0,ORIGINAL,06,07,19881,212905,2129,8100091,810,7,478,0,,Y,1,2014-212905
6,51,VA,6,01,6,6,200 LINE,2836,51,1716,1110,0088,3,1,2,1,3,1,1701,4656,1050,2,1,8,7,0,0,1,1,0,0,0,6,9998,9998,55,300,67,1,2,1,VAJN1110.pdf,00070558.tif,2014,0,0,0,ORIGINAL,06,07,19881,213001,2130,8100088,810,7,485,0,,Y,1,2014-213001
6,51,VA,6,02,6,6,SE OREGON INLET,2836,51,1742,1110,0088,3,1,2,1,3,1,1725,7777,9996,2,2,11,7,0,0,1,1,0,0,0,6,9998,9998,35,600,72,1,2,1,VAJN1110.pdf,00070560.tif,2014,0,0,0,ORIGINAL,06,07,19881,213002,2130,8100088,810,7,481,0,,Y,1,2014-213002
6,51,VA,6,03,6,6,NORFOLK CANYON,2836,51,1752,1110,0088,3,1,2,1,3,1,1745,4656,3591,2,12,8,24,0,0,1,1,0,0,0,5,3705,7435,65,600,68,1,2,1,VAJN1110.pdf,00070562.tif,2014,1,0,0,ORIGINAL,06,07,19881,213003,2130,8100088,810,7,483,0,,Y,1,2014-213003
