tracker,id,year,month,stcode,control,docno,species,othlp,kept,observe,alive,dead,sell,weighed
031504,2013-031504,2013,07,44,1207,04,3551,SHORTFIN MAKO SHARK,1,1,0,0,0,0
031504,2013-031504,2013,07,44,1207,04,4931,BLUE SHARK,0,0,2,0,0,0
031505,2013-031505,2013,07,44,1207,05,4931,BLUE SHARK,0,0,1,0,0,0
031506,2013-031506,2013,07,44,1207,06,3531,COMMON THRESHER SHAR,0,0,1,0,0,0
031506,2013-031506,2013,07,44,1207,06,3551,SHORTFIN MAKO SHARK,0,0,1,0,0,0
031506,2013-031506,2013,07,44,1207,06,4931,BLUE SHARK,0,0,1,0,0,0
031508,2013-031508,2013,07,44,1207,08,3551,SHORTFIN MAKO SHARK,0,0,1,0,0,0
031508,2013-031508,2013,07,44,1207,08,4931,BLUE SHARK,0,0,5,0,0,0
031509,2013-031509,2013,07,44,1207,09,4931,BLUE SHARK,0,0,2,0,0,0
031510,2013-031510,2013,07,44,1207,10,3521,SPINY DOGFISH,0,0,0,15,0,0
031510,2013-031510,2013,07,44,1207,10,4931,BLUE SHARK,0,0,2,0,0,0
031514,2013-031514,2013,07,44,1207,14,4931,BLUE SHARK,0,0,2,0,0,0
031518,2013-031518,2013,07,44,1207,18,230,BLUEFISH,3,0,0,0,0,0
031518,2013-031518,2013,07,44,1207,18,4931,BLUE SHARK,0,0,7,0,0,0
031519,2013-031519,2013,07,44,1207,19,4931,BLUE SHARK,0,0,3,0,0,0
031520,2013-031520,2013,07,44,1207,20,3551,SHORTFIN MAKO SHARK,0,0,2,0,0,0
031520,2013-031520,2013,07,44,1207,20,4931,BLUE SHARK,0,0,11,0,0,0
031901,2013-031901,2013,07,10,1102,01,4678,BFT LARGE SCHOOL,1,1,0,0,0,0
031903,2013-031903,2013,07,10,1102,03,4678,BFT LARGE SCHOOL,1,0,0,0,0,0
031904,2013-031904,2013,07,10,1102,04,4678,BFT LARGE SCHOOL,1,0,0,0,0,0
031905,2013-031905,2013,07,10,1102,05,4678,BFT LARGE SCHOOL,1,1,0,0,0,0
031905,2013-031905,2013,07,10,1102,05,4711,YFT,1,1,0,0,0,0
031907,2013-031907,2013,07,10,1102,07,4678,BFT LARGE SCHOOL,1,0,0,0,0,0
031908,2013-031908,2013,07,10,1102,08,4678,BFT LARGE SCHOOL,1,0,0,0,0,0
031909,2013-031909,2013,07,10,1102,09,1050,DOLPHIN,1,0,0,0,0,0
