tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chum,fm_chunk,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,fm_other_other,id
04,6,25,MA,6,01,6,6,INNER BUTTERFISH,7666,09,1715,1101,0688,5,1,1,2,1,2,1715,3531,3551,2,1,4,8,0,0,1,0,1,1,0,2,9998,9998,20,200,66,1,2,2,CTJL1101.pdf,00097148.tif,2016,0,1,0,ORIGINAL,07,03,20638,0404,0110688,011,3,167,0,,Y,2,,2016-040401
04,6,09,CT,6,01,6,6,MONTAUK,7632,09,1545,1107,3234,3,1,1,2,2,2,1530,3551,4676,2,2,3,12,1,0,0,1,0,0,0,3,4101,7150,22,180,70,1,2,1,CTJL1107.pdf,00097152.tif,2016,0,1,0,ORIGINAL,07,04,20639,0405,0113234,011,3,168,0,,Y,2,,2016-040501
04,,09,CT,NIANTIC SHARK WEEK,02,6,6,BUTTERFISH HOLE,7632,09,1630,1107,3879,3,2,1,2,2,2,1415,3551,3531,1,2,4,2,1,0,1,0,1,1,0,6,4050,7135,35,180,68,1,2,1,CTJL1107.pdf,00097154.tif,2016,0,0,0,ORIGINAL,07,04,20639,0405,0113879,011,3,1,1,tcode;,Y,2,,2016-040502
04,6,09,CT,6,01,6,6,NORTH OF BUTTERFISH,7666,09,1800,1110,0884,2,1,1,2,2,7,1720,3591,9996,2,2,2,6,0,0,1,0,1,0,0,2,9998,9998,20,196,70,2,2,1,CTJL1110.pdf,00097158.tif,2016,0,1,0,ORIGINAL,07,04,20639,0406,0070884,007,3,170,0,,Y,2,,2016-040601
04,6,09,CT,6,01,6,6,BUTTERFISH HOLE,7632,09,1645,2105,0630,3,1,1,2,2,6,1640,3551,4676,2,2,5,8,0,0,1,1,0,0,0,5,4050,7135,30,190,67,1,2,1,CTJL2105.pdf,00097167.tif,2016,0,0,0,ORIGINAL,07,01,20636,0409,0110630,011,3,171,0,,Y,2,,2016-040901
04,6,10,DE,6,01,6,6,MASSEYS CANYON,6447,10,1350,1101,1599,2,1,1,2,2,1,1345,4677,4678,2,2,7,5,0,1,1,1,0,0,0,3,3825,7420,52,118,74,2,2,2,DEJL1101.pdf,00097177.tif,2016,0,0,0,ORIGINAL,07,04,20639,0412,0051599,005,6,177,0,,Y,2,,2016-041201
04,6,10,DE,6,02,6,6,MASSEYS CANYON,6447,10,1451,1101,1599,2,1,1,2,2,1,1445,4677,4678,2,12,7,9,0,1,1,1,0,0,0,5,3825,7420,30,130,74,1,2,2,DEJL1101.pdf,00097178.tif,2016,0,0,0,ORIGINAL,07,04,20639,0412,0051599,005,6,176,0,,Y,2,,2016-041202
04,6,10,DE,6,03,6,6,MASSEYS CANYON,6447,10,1511,1101,1599,2,1,1,2,2,1,1500,4677,4678,2,1,6,6,0,1,1,1,0,0,0,8,3825,7420,40,120,68,2,2,1,DEJL1101.pdf,00097179.tif,2016,0,0,0,ORIGINAL,07,04,20639,0412,0051599,005,6,174,1,Q27;,Y,2,,2016-041203
04,6,36,NY,6,04,6,6,ELEPHANT TRUNK,6447,10,1644,1101,1599,2,1,1,2,2,7,1630,4677,4711,2,2,9,6,0,1,1,1,0,0,0,4,3835,7405,45,180,70,1,1,2,DEJL1101.pdf,00097181.tif,2016,0,1,0,ORIGINAL,07,04,20639,0412,0051599,005,6,178,0,,Y,2,,2016-041204
04,6,10,DE,6,05,6,6,HAMBONE,6447,10,1740,1101,1599,2,1,1,2,2,6,1730,4677,4678,2,2,5,8,0,1,1,1,0,0,0,2,3811,7424,42,160,71,1,2,1,DEJL1101.pdf,00097182.tif,2016,0,1,0,ORIGINAL,07,04,20639,0412,0051599,005,6,179,0,,N,2,,2016-041205
04,6,10,DE,6,06,6,6,WILMINGTON CANYON,6447,10,1804,1101,1599,2,1,1,2,2,6,1750,4656,2161,2,12,8,8,0,1,1,1,0,0,0,6,3824,7327,70,1200,75,1,2,1,DEJL1101.pdf,00097184.tif,2016,0,1,0,ORIGINAL,07,04,20639,0412,0051599,005,6,180,0,,N,2,,2016-041206
04,6,10,DE,6,07,6,6,20 FATHOM LINE,6447,10,1818,1101,1599,2,1,2,1,3,1,1810,4677,4678,2,12,3,6,0,0,1,1,0,1,0,5,9998,9998,34,120,73,1,2,1,DEJL1101.pdf,00097186.tif,2016,0,1,0,ORIGINAL,07,04,20639,0412,0051599,005,6,175,0,,Y,2,,2016-041207
04,6,10,DE,6,01,6,6,9,6447,10,1340,1203,1599,2,1,1,2,2,7,1330,4677,4678,2,2,10,3,0,0,1,1,0,0,0,5,9999,9999,35,140,74,1,2,1,DEJL1203.pdf,00097192.tif,2016,0,1,0,ORIGINAL,07,02,20637,0414,0051599,005,6,203,0,,Y,1,,2016-041401
04,6,10,DE,6,02,6,6,MASSEYS CANYON,6447,10,1438,1203,1599,2,1,1,2,2,7,1400,4677,4678,2,2,7,6,0,0,1,1,0,0,0,6,3825,7420,45,144,72,1,2,1,DEJL1203.pdf,00097194.tif,2016,0,1,0,ORIGINAL,07,02,20637,0414,0051599,005,6,205,0,,Y,2,,2016-041402
04,6,10,DE,6,03,6,6,20 FATHOM LINE,6447,10,1540,1203,1599,2,1,2,1,3,1,1530,4677,4678,2,2,8,8,0,0,1,1,0,0,0,5,9999,9999,30,120,73,1,2,1,DEJL1203.pdf,00097196.tif,2016,0,1,0,ORIGINAL,07,02,20637,0414,0051599,005,6,202,0,,Y,2,,2016-041403
04,6,10,DE,6,04,6,6,POOR MANS CANYON,6447,10,1619,1203,1599,2,1,1,2,2,7,1600,4656,4711,2,2,7,5,0,1,1,1,0,0,0,2,3752,7406,90,2000,75,1,2,2,DEJL1203.pdf,00097198.tif,2016,1,1,0,ORIGINAL,07,02,20637,0414,0051599,005,6,206,0,,Y,2,,2016-041404
04,6,10,DE,6,05,6,6,461 BUMP,6447,10,1836,1203,1599,2,1,1,2,2,1,1820,2161,2171,2,1,6,7,0,1,1,1,0,0,0,3,3730,7411,75,3000,75,2,2,1,DEJL1203.pdf,00097199.tif,2016,0,1,0,ORIGINAL,07,02,20637,0414,0051599,005,6,204,0,,Y,2,,2016-041405
04,6,10,DE,6,01,6,6,MASSEYS CANYON,6783,10,1605,2201,1599,2,1,2,2,3,1,1554,4656,1050,2,2,9,6,0,1,1,1,0,0,0,8,3825,7420,20,120,72,2,2,1,DEJL2201.pdf,00097287.tif,2016,1,0,0,ORIGINAL,07,01,20636,0415,0051599,005,6,251,0,,Y,2,,2016-041501
04,6,10,DE,6,02,6,6,HAMBONE,6783,10,1623,2201,1599,2,1,1,2,2,1,1617,4678,9996,2,2,8,9,0,1,1,1,0,0,0,6,3811,7424,30,120,71,2,2,2,DEJL2201.pdf,00097289.tif,2016,0,0,0,ORIGINAL,07,01,20636,0415,0051599,005,6,253,0,,Y,2,,2016-041502
