tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,q11a,id
17,24,01,1204,32,0,,6936,5,1,5,2015,10,11,0471493,0,0,1,MDOC1204.pdf,00093526.tif,ORIGINAL,D,1050,1752,1,15,15,0,0,0,0,3,2015-175201
17,24,02,1204,33,0,,6936,5,1,6,2015,10,11,0471493,0,0,1,MDOC1204.pdf,00093528.tif,ORIGINAL,D,1050,1752,2,37,37,0,0,0,0,3,2015-175202
17,24,02,1204,34,0,,6936,5,1,6,2015,10,11,0471493,0,0,1,MDOC1204.pdf,00093528.tif,ORIGINAL,Y,4711,1752,1,2,2,0,0,0,0,3,2015-175202
17,24,03,1204,35,0,,6936,5,1,6,2015,10,11,0471493,0,0,1,MDOC1204.pdf,00093530.tif,ORIGINAL,D,1050,1752,3,2,2,0,0,0,0,3,2015-175203
17,24,03,1204,36,0,,6936,5,1,6,2015,10,11,0471493,0,0,1,MDOC1204.pdf,00093530.tif,ORIGINAL,W,2161,1752,2,0,0,1,0,0,0,3,2015-175203
17,24,03,1204,37,0,,6936,5,1,6,2015,10,11,0471493,0,0,1,MDOC1204.pdf,00093530.tif,ORIGINAL,Y,4711,1752,1,2,2,0,0,0,0,3,2015-175203
17,24,01,1205,38,0,,6936,5,1,5,2015,10,12,0471493,0,0,2,MDOC1205.pdf,00093627.tif,ORIGINAL,D,1050,1780,2,25,25,0,0,0,0,2,2015-178001
17,24,01,1205,39,0,,6936,5,1,5,2015,10,12,0471493,0,0,2,MDOC1205.pdf,00093627.tif,ORIGINAL,Y,4711,1780,1,1,1,10,0,0,0,2,2015-178001
18,24,01,1212,40,0,,6447,3,1,5,2015,10,12,0470853,0,0,2,MDOC1212.pdf,00093795.tif,ORIGINAL,D,1050,1805,1,9,0,0,0,0,0,2,2015-180501
18,24,03,1212,41,0,,6447,3,1,6,2015,10,12,0470853,0,0,1,MDOC1212.pdf,00093798.tif,ORIGINAL,D,1050,1805,2,35,0,0,0,0,0,2,2015-180503
18,24,03,1212,42,0,,6447,3,1,6,2015,10,12,0470853,0,0,1,MDOC1212.pdf,00093798.tif,ORIGINAL,Y,4711,1805,1,1,1,0,0,0,0,2,2015-180503
18,24,04,1212,43,0,,6447,3,1,5,2015,10,12,0470853,0,0,1,MDOC1212.pdf,00093800.tif,ORIGINAL,D,1050,1805,2,27,27,0,0,0,0,3,2015-180504
18,24,04,1212,44,0,,6447,3,1,5,2015,10,12,0470853,0,0,1,MDOC1212.pdf,00093800.tif,ORIGINAL,Y,4711,1805,1,8,8,0,0,0,0,3,2015-180504
18,24,04,1212,45,1,SPECIES;RARE OR ILLEGAL SPECIES KEPT;,6447,3,1,5,2015,10,12,0470853,0,0,1,MDOC1212.pdf,00093800.tif,ORIGINAL,B,8888,1805,3,2,2,0,0,0,0,3,2015-180504
19,24,01,1215,46,1,KEPT;,6447,3,1,3,2015,10,25,0470853,0,0,2,MDOC1215.pdf,00094529.tif,ORIGINAL,B,3350,1976,1,45,0,15,0,0,0,2,2015-197601
19,24,01,1215,47,1,RARE OR ILLEGAL SPECIES KEPT;,6447,3,1,3,2015,10,25,0470853,0,0,2,MDOC1215.pdf,00094529.tif,ORIGINAL,B,4440,1976,2,15,0,0,0,0,0,2,2015-197601
19,24,02,1215,48,0,,6447,3,1,8,2015,10,25,0470853,0,0,2,MDOC1215.pdf,00094531.tif,ORIGINAL,B,3350,1976,2,4,0,12,0,0,0,3,2015-197602
19,24,02,1215,49,1,RARE OR ILLEGAL SPECIES KEPT;,6447,3,1,8,2015,10,25,0470853,0,0,2,MDOC1215.pdf,00094531.tif,ORIGINAL,B,4440,1976,1,16,0,0,0,0,0,3,2015-197602
17,24,01,2106,50,0,,6447,3,1,4,2015,10,09,0470853,0,0,2,MDOC2106.pdf,00093536.tif,ORIGINAL,D,1050,1754,1,50,0,0,0,0,0,3,2015-175401
19,24,02,2107,51,0,,6555,4,3,4,2015,10,22,0470856,0,0,2,MDOC2107.pdf,00094397.tif,ORIGINAL,D,1050,1936,1,4,0,0,0,0,0,2,2015-193602
19,24,01,2121,52,0,,6555,7,1,2,2015,10,21,0470938,0,0,2,MDOC2121.pdf,00094401.tif,ORIGINAL,D,1050,1937,1,3,0,0,0,0,0,2,2015-193701
19,24,01,2124,53,0,,6783,7,1,5,2015,10,22,0479006,0,0,2,MDOC2124.pdf,00094405.tif,ORIGINAL,S,3551,1938,2,0,0,1,0,0,0,3,2015-193801
19,24,01,2124,54,0,,6783,7,1,5,2015,10,22,0479006,0,0,2,MDOC2124.pdf,00094405.tif,ORIGINAL,S,4328,1938,3,0,0,1,0,0,0,3,2015-193801
19,24,01,2124,55,0,,6783,7,1,5,2015,10,22,0479006,0,0,2,MDOC2124.pdf,00094405.tif,ORIGINAL,Y,4711,1938,1,1,0,0,0,0,0,3,2015-193801
17,24,01,2203,56,0,,6783,7,3,3,2015,10,08,0470938,0,0,1,MDOC2203.pdf,00093407.tif,ORIGINAL,B,230,1720,2,2,2,0,0,0,0,2,2015-172001
17,24,01,2203,57,0,,6783,7,3,3,2015,10,08,0470938,0,0,1,MDOC2203.pdf,00093407.tif,ORIGINAL,D,1050,1720,1,12,12,0,0,0,0,2,2015-172001
18,24,01,2208,58,0,,6936,5,1,4,2015,10,14,0471493,0,0,1,MDOC2208.pdf,00093869.tif,ORIGINAL,D,1050,1823,1,4,4,0,0,0,0,3,2015-182301
18,24,01,2214,59,1,ALIVE;,6555,3,1,2,2015,10,16,0470853,0,0,2,MDOC2214.pdf,00094207.tif,ORIGINAL,B,230,1887,1,0,0,35,0,0,0,3,2015-188701
18,24,01,2214,60,0,,6555,3,1,2,2015,10,16,0470853,0,0,2,MDOC2214.pdf,00094207.tif,ORIGINAL,B,3350,1887,3,0,0,12,0,0,0,3,2015-188701
18,24,01,2214,61,0,,6555,3,1,2,2015,10,16,0470853,0,0,2,MDOC2214.pdf,00094207.tif,ORIGINAL,S,3521,1887,2,0,0,1,0,0,0,3,2015-188701
18,24,02,2214,62,0,,6555,3,1,5,2015,10,16,0470853,0,0,2,MDOC2214.pdf,00094209.tif,ORIGINAL,B,230,1887,1,6,0,0,0,0,0,2,2015-188702
18,24,02,2214,63,0,,6555,3,1,5,2015,10,16,0470853,0,0,2,MDOC2214.pdf,00094209.tif,ORIGINAL,S,1219,1887,3,2,0,0,0,0,0,2,2015-188702
18,24,02,2214,64,0,,6555,3,1,5,2015,10,16,0470853,0,0,2,MDOC2214.pdf,00094209.tif,ORIGINAL,B,3350,1887,2,6,0,0,0,0,0,2,2015-188702
19,24,01,2215,65,0,,6936,5,1,5,2015,10,22,0471493,0,0,2,MDOC2215.pdf,00094409.tif,ORIGINAL,B,3350,1939,3,11,11,0,0,0,0,3,2015-193901
19,24,01,2215,66,1,RARE OR ILLEGAL SPECIES KEPT;,6936,5,1,5,2015,10,22,0471493,0,0,2,MDOC2215.pdf,00094409.tif,ORIGINAL,B,4440,1939,4,20,20,0,0,0,0,3,2015-193901
19,24,01,2215,67,0,,6936,5,1,5,2015,10,22,0471493,0,0,2,MDOC2215.pdf,00094409.tif,ORIGINAL,B,4931,1939,1,0,0,1,0,0,0,3,2015-193901
19,24,01,2215,68,0,,6936,5,1,5,2015,10,22,0471493,0,0,2,MDOC2215.pdf,00094409.tif,ORIGINAL,H,4950,1939,2,0,0,1,0,0,0,3,2015-193901
19,24,02,2215,69,0,,6936,5,1,4,2015,10,22,0471493,0,0,2,MDOC2215.pdf,00094411.tif,ORIGINAL,B,3350,1939,2,0,0,6,0,0,0,2,2015-193902
19,24,02,2215,70,1,RARE OR ILLEGAL SPECIES KEPT;,6936,5,1,4,2015,10,22,0471493,0,0,2,MDOC2215.pdf,00094411.tif,ORIGINAL,B,4440,1939,1,20,20,0,0,0,0,2,2015-193902
19,24,03,2215,71,0,,6936,5,1,6,2015,10,22,0471493,0,0,1,MDOC2215.pdf,00094413.tif,ORIGINAL,D,1050,1939,3,33,33,0,0,0,0,3,2015-193903
19,24,03,2215,72,0,,6936,5,1,6,2015,10,22,0471493,0,0,1,MDOC2215.pdf,00094413.tif,ORIGINAL,Y,4711,1939,1,3,3,0,0,0,0,3,2015-193903
19,24,03,2215,73,0,,6936,5,1,6,2015,10,22,0471493,0,0,1,MDOC2215.pdf,00094413.tif,ORIGINAL,W,4720,1939,2,1,1,0,0,0,0,3,2015-193903
18,25,01,1102,74,0,,7633,33,1,2,2015,10,17,0093230,0,0,2,MAOC1102.pdf,00094143.tif,ORIGINAL,H,1670,1871,2,5,0,0,0,0,0,1,2015-187101
18,25,01,1102,75,0,,7633,33,1,2,2015,10,17,0093230,0,0,2,MAOC1102.pdf,00094143.tif,ORIGINAL,A,2120,1871,1,1,0,0,0,0,0,1,2015-187101
17,25,01,1104,76,0,,7606,8,3,1,2015,10,12,0230217,0,0,2,MAOC1104.pdf,00093682.tif,ORIGINAL,B,230,1793,1,1,0,0,0,0,0,2,2015-179301
17,25,01,1104,77,0,,7606,8,3,1,2015,10,12,0230217,0,0,2,MAOC1104.pdf,00093682.tif,ORIGINAL,A,2120,1793,2,10,0,0,0,0,0,2,2015-179301
17,25,06,1104,78,0,,7606,8,1,2,2015,10,12,0230218,0,1,2,MAOC1104.pdf,00093688.tif,ORIGINAL,S,5090,1793,1,20,0,0,0,0,0,3,2015-179306
17,25,07,1104,79,0,,7606,8,1,2,2015,10,12,0230218,0,0,2,MAOC1104.pdf,00093690.tif,ORIGINAL,B,4931,1793,1,0,0,3,0,0,0,1,2015-179307
17,25,10,1104,80,0,,7606,8,1,3,2015,10,12,0230784,0,0,2,MAOC1104.pdf,00093694.tif,ORIGINAL,A,2120,1793,1,20,0,0,0,0,0,2,2015-179310
17,25,10,1104,81,0,,7606,8,1,3,2015,10,12,0230784,0,0,2,MAOC1104.pdf,00093694.tif,ORIGINAL,S,3521,1793,2,0,0,10,0,0,0,2,2015-179310
17,25,20,1104,82,0,,7606,8,1,4,2015,10,12,0230218,0,0,2,MAOC1104.pdf,00093705.tif,ORIGINAL,A,2120,1793,1,12,0,0,0,0,0,2,2015-179320
17,25,24,1104,83,0,,7606,8,1,6,2015,10,12,0230784,0,0,2,MAOC1104.pdf,00093710.tif,ORIGINAL,A,2120,1793,1,36,0,0,0,0,0,3,2015-179324
17,25,25,1104,84,1,SPECIES;,7606,8,1,2,2015,10,12,0230218,0,0,2,MAOC1104.pdf,00093712.tif,ORIGINAL,B,4670,1793,1,0,0,1,0,0,0,1,2015-179325
18,25,01,1105,85,0,,7600,15,1,2,2015,10,12,0090024,0,0,2,MAOC1105.pdf,00093768.tif,ORIGINAL,A,2120,1801,1,10,0,20,0,0,0,2,2015-180101
18,25,01,1105,86,0,,7600,15,1,2,2015,10,12,0090024,0,0,2,MAOC1105.pdf,00093768.tif,ORIGINAL,B,4679,1801,2,1,1,0,0,0,0,2,2015-180101
18,25,02,1105,87,0,,7600,15,1,5,2015,10,12,0090024,0,0,2,MAOC1105.pdf,00093770.tif,ORIGINAL,A,2120,1801,1,15,0,5,0,0,0,3,2015-180102
17,25,01,1107,88,0,,6634,24,1,3,2015,10,12,0010285,0,0,2,MAOC1107.pdf,00093751.tif,ORIGINAL,A,2120,1797,1,30,0,10,0,0,0,2,2015-179701
20,25,01,1207,89,0,,7606,8,3,4,2015,10,31,0230217,0,0,2,MAOC1207.pdf,00094715.tif,ORIGINAL,B,4676,2025,1,1,0,0,0,0,0,2,2015-202501
20,25,03,1207,90,0,,7606,8,3,2,2015,10,31,0230217,0,0,2,MAOC1207.pdf,00094718.tif,ORIGINAL,B,4676,2025,2,0,0,2,0,0,0,1,2015-202503
20,25,03,1207,91,0,,7606,8,3,2,2015,10,31,0230217,0,0,2,MAOC1207.pdf,00094718.tif,ORIGINAL,B,4679,2025,1,1,0,0,0,1,0,1,2015-202503
20,25,07,1207,92,0,,7606,8,1,2,2015,10,31,0230784,0,0,1,MAOC1207.pdf,00094723.tif,ORIGINAL,B,4671,2025,1,1,1,0,0,1,0,1,2015-202507
20,25,09,1207,93,0,,7606,8,3,4,2015,10,31,0230217,0,0,2,MAOC1207.pdf,00094726.tif,ORIGINAL,A,2120,2025,1,30,0,0,0,0,0,2,2015-202509
20,25,10,1207,94,0,,7606,8,3,3,2015,10,31,0230217,0,0,1,MAOC1207.pdf,00094728.tif,ORIGINAL,B,4671,2025,1,1,1,0,0,1,0,3,2015-202510
17,25,01,1208,95,0,,6634,8,3,3,2015,10,11,0230217,0,0,2,MAOC1208.pdf,00093724.tif,ORIGINAL,B,4676,1795,1,1,0,0,0,0,0,2,2015-179501
17,25,06,1208,96,0,,6634,8,3,3,2015,10,11,0230217,0,0,2,MAOC1208.pdf,00093730.tif,ORIGINAL,A,330,1795,2,3,0,0,0,0,0,1,2015-179506
17,25,06,1208,97,0,,6634,8,3,3,2015,10,11,0230217,0,0,2,MAOC1208.pdf,00093730.tif,ORIGINAL,S,3551,1795,1,0,0,1,0,0,0,1,2015-179506
17,25,10,1208,98,0,,6634,8,1,3,2015,10,11,0230784,0,0,1,MAOC1208.pdf,00093735.tif,ORIGINAL,S,3521,1795,2,0,0,1,0,0,0,1,2015-179510
17,25,10,1208,99,0,,6634,8,1,3,2015,10,11,0230784,0,0,1,MAOC1208.pdf,00093735.tif,ORIGINAL,B,4671,1795,1,1,1,0,0,1,0,1,2015-179510
17,25,04,1211,100,0,,6698,18,3,6,2015,10,11,0010279,0,0,2,MAOC1211.pdf,00093618.tif,ORIGINAL,B,4677,1777,1,0,0,2,0,0,0,1,2015-177704
18,25,05,1215,101,0,,6698,18,3,1,2015,10,12,0010279,0,0,2,MAOC1215.pdf,00093839.tif,ORIGINAL,B,4678,1817,1,0,0,1,0,0,0,3,2015-181705
18,25,06,1215,102,0,,6698,18,3,2,2015,10,12,0010279,0,0,2,MAOC1215.pdf,00093841.tif,ORIGINAL,B,4676,1817,1,1,0,0,0,0,0,2,2015-181706
18,25,01,2106,103,0,,7633,15,1,3,2015,10,13,0090024,0,0,2,MAOC2106.pdf,00093776.tif,ORIGINAL,H,1670,1803,3,4,0,0,0,0,0,2,2015-180301
18,25,01,2106,104,0,,7633,15,1,3,2015,10,13,0090024,0,0,2,MAOC2106.pdf,00093776.tif,ORIGINAL,A,2120,1803,1,6,0,4,0,0,0,2,2015-180301
18,25,02,2106,105,0,,7633,15,1,3,2015,10,13,0090024,0,0,2,MAOC2106.pdf,00093778.tif,ORIGINAL,A,2120,1803,1,12,0,0,0,0,0,1,2015-180302
18,25,03,2106,106,0,,7633,15,1,4,2015,10,13,0090024,0,0,2,MAOC2106.pdf,00093780.tif,ORIGINAL,H,1670,1803,2,2,0,0,0,0,0,1,2015-180303
18,25,03,2106,107,0,,7633,15,1,4,2015,10,13,0090024,0,0,2,MAOC2106.pdf,00093780.tif,ORIGINAL,A,2120,1803,1,4,0,16,0,0,0,1,2015-180303
18,25,04,2106,108,0,,7633,15,1,4,2015,10,13,0090024,0,0,2,MAOC2106.pdf,00093782.tif,ORIGINAL,H,1670,1803,2,4,0,0,0,0,0,1,2015-180304
18,25,04,2106,109,0,,7633,15,1,4,2015,10,13,0090024,0,0,2,MAOC2106.pdf,00093782.tif,ORIGINAL,A,2120,1803,1,20,0,20,0,0,0,1,2015-180304
18,25,05,2106,110,0,,7633,15,1,2,2015,10,13,0090024,0,0,2,MAOC2106.pdf,00093784.tif,ORIGINAL,A,2120,1803,2,12,0,12,0,0,0,3,2015-180305
