tracker,faxno,batch,ppstfips,tcode,location,stcode,returnt,siteno,intcode,hook,inttime,tifno,intdate,cluster,control,sitetype,prim_op,todayt,category,perm_ver,ppstate,prim1,prim2,tourn,tourn_name,hook_oth,lines,fhours,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,proxy,catch,interr,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,contact,filestat,docno,month,day,year,enterr,permismt,county,site_no,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
559001,DEOC1202.pdf,5590,10,6,WASHINGTON CANYON,10,1646,1599,6783,1,1718,00172583.tif,10/02/2021,2,1202,1,1,2,2,1,DE,4711,9996,2,6,6,4,6,6,3,3727,7427,55,2000,74,2,1,0,0,1,0,0,0,1,0,0,1,ORIGINAL,01,10,02,2021,1,0,005,0051599,6,100,0,,Y,1,2021-559001
559002,DEOC1202.pdf,5590,10,6,BALTIMORE CANYON,10,1729,1599,6783,2,1735,00172585.tif,10/02/2021,2,1202,1,1,2,2,6,DE,4711,9996,2,6,6,6,6,6,2,3814,7350,54,800,69,2,1,0,0,1,1,1,0,0,0,0,1,ORIGINAL,02,10,02,2021,0,0,005,0051599,6,99,0,,Y,1,2021-559002
559003,DEOC1202.pdf,5590,10,6,WASHINGTON CANYON,10,1815,1599,6783,1,1821,00172587.tif,10/02/2021,2,1202,1,2,2,3,1,DE,4711,9996,2,6,6,9,7,6,4,3727,7427,55,900,72,2,1,0,0,1,1,1,0,1,0,0,1,ORIGINAL,03,10,02,2021,0,0,005,0051599,6,103,0,,Y,2,2021-559003
559004,DEOC1202.pdf,5590,10,6,WASHINGTON CANYON,10,1832,1599,6783,1,1836,00172589.tif,10/02/2021,2,1202,1,1,2,2,1,DE,4711,9996,2,6,6,6,7,6,3,3727,7427,50,1250,72,2,1,0,0,1,1,1,0,1,0,0,2,ORIGINAL,04,10,02,2021,0,0,005,0051599,6,104,0,,Y,2,2021-559004
559005,DEOC1202.pdf,5590,10,6,WASHINGTON CANYON,10,1835,1599,6783,1,1841,00172591.tif,10/02/2021,2,1202,1,2,1,3,1,DE,4711,9996,2,6,6,4,7,6,6,3727,7427,55,1200,71,2,1,0,0,1,0,0,1,0,0,0,2,ORIGINAL,05,10,02,2021,0,0,005,0051599,6,101,0,,Y,2,2021-559005
559006,DEOC1202.pdf,5590,10,6,WASHINGTON CANYON,10,1844,1599,6783,1,1848,00172593.tif,10/02/2021,2,1202,1,1,2,2,1,DE,4711,9996,2,6,6,4,9,6,4,3727,7427,50,1200,73,2,1,0,0,1,0,0,0,1,0,0,1,ORIGINAL,06,10,02,2021,0,0,005,0051599,6,102,0,,Y,2,2021-559006
559101,MAOC1101.pdf,5591,25,6,OFF NAUSET,25,1510,0217,7821,2,1515,00172597.tif,10/02/2021,8,1101,3,2,1,3,1,MA,4677,9996,2,6,6,4,5,CASTING,4,9998,9998,6,110,65,2,2,0,0,0,1,0,0,0,0,1,1,ORIGINAL,01,10,02,2021,0,0,023,0230217,2,166,0,,Y,2,2021-559101
559102,MAOC1101.pdf,5591,25,6,NW CORNER STELLWAGEN,25,1625,0218,7821,1,1630,00172598.tif,10/02/2021,8,1101,1,2,1,3,1,MA,4677,9996,2,6,6,4,3,6,6,9998,9998,24,130,98,2,1,0,1,0,0,0,0,0,1,0,2,ORIGINAL,02,10,02,2021,0,0,023,0230218,2,165,0,,Y,2,2021-559102
559301,MAOC1114.pdf,5593,99,6,CHATAM,25,1500,0780,7952,1,1530,00172605.tif,10/02/2021,6,1114,1,1,2,3,6,99,4671,9996,2,6,6,4,5,6,1,4140,6955,5,300,98,2,1,1,1,0,0,0,0,0,1,0,1,ORIGINAL,01,10,02,2021,1,0,001,0010780,2,181,0,,N,2,2021-559301
559302,MAOC1114.pdf,5593,44,6,CHATAM,25,1515,0780,7952,1,1545,00172607.tif,10/02/2021,6,1114,1,2,2,3,7,RI,4671,9996,2,6,6,3,9,6,3,4140,6955,4,180,67,2,1,1,1,0,0,0,0,0,1,0,1,ORIGINAL,02,10,02,2021,0,0,001,0010780,2,180,0,,Y,2,2021-559302
