tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
186901,6,10,DE,6,01,6,6,POOR MANS CANYON,6783,10,1840,2201,1599,2,1,1,2,2,6,1830,4711,9996,2,2,6,7,0,1,1,1,0,0,0,0,6,3752,7406,70,600,73,1,2,1,DEOC2201.pdf,00143566.tif,2019,0,1,1,ORIGINAL,10,01,21823,1869,0051599,005,6,151,0,,Y,1,2019-186901
186902,6,10,DE,6,02,6,6,POOR MANS CANYON,6783,10,1851,2201,1599,2,1,1,2,2,7,1830,7777,9996,2,12,6,8,0,1,1,1,0,0,0,0,6,3752,7406,65,480,74,2,2,1,DEOC2201.pdf,00143568.tif,2019,1,1,0,ORIGINAL,10,01,21823,1869,0051599,005,6,152,0,,Y,1,2019-186902
186903,6,10,DE,6,03,6,6,POOR MANS CANYON,6783,10,1900,2201,1599,2,1,1,2,2,1,1830,2161,9996,2,12,6,8,0,1,1,1,0,0,0,0,5,3752,7406,60,400,72,1,2,1,DEOC2201.pdf,00143570.tif,2019,0,0,0,ORIGINAL,10,01,21823,1869,0051599,005,6,153,0,,Y,2,2019-186903
186904,6,10,DE,6,04,6,6,POOR MANS CANYON,6783,10,1951,2201,1599,2,1,2,2,3,1,1920,2161,9996,2,12,6,5,0,1,1,1,0,0,0,0,4,3752,7406,60,900,74,2,2,1,DEOC2201.pdf,00143572.tif,2019,1,1,0,ORIGINAL,10,01,21823,1869,0051599,005,6,154,0,,Y,2,2019-186904
187001,6,25,MA,6,01,6,6,JEFFREYS LEDGE,7800,25,1540,2101,0004,14,1,1,2,1,1,1535,4671,9996,2,1,2,8,1,0,0,0,0,0,1,0,2,4255,7010,12,189,56,1,2,1,MAOC2101.pdf,00143577.tif,2019,0,0,0,ORIGINAL,10,01,21823,1870,0090004,009,2,328,0,,Y,2,2019-187001
187101,6,33,NH,6,01,6,6,CAPE COD BAY,7768,25,1432,2103,3472,1,1,1,2,1,2,1300,4671,9996,2,2,2,4,1,0,0,0,0,0,1,0,2,4200,7020,5,110,98,1,2,1,MAOC2103.pdf,00143581.tif,2019,0,1,0,ORIGINAL,10,03,21825,1871,0013472,001,2,330,0,,N,2,2019-187101
187201,6,25,MA,6,01,6,6,STELLWAGEN BANK,7736,25,1540,2104,0024,15,1,2,2,3,1,1300,4671,9996,2,1,1,1,1,0,0,0,0,0,1,0,2,4216,7017,12,115,61,1,2,1,MAOC2104.pdf,00143585.tif,2019,0,0,0,ORIGINAL,10,03,21825,1872,0090024,009,2,335,0,,Y,2,2019-187201
187202,6,25,MA,6,02,6,6,STELLWAGEN BANK,7736,25,1835,2104,0024,15,1,2,1,3,1,1830,4671,9996,2,1,3,10,1,0,0,0,0,0,1,0,4,4216,7017,18,100,60,2,2,1,MAOC2104.pdf,00143587.tif,2019,0,1,0,ORIGINAL,10,03,21825,1872,0090024,009,2,334,0,,Y,2,2019-187202
187203,6,25,MA,6,03,6,6,STELLWAGEN BANK,7736,25,1856,2104,0024,15,1,2,2,3,1,1850,4671,9996,2,12,2,10,1,0,0,0,0,0,1,0,2,4216,7017,15,100,60,1,2,1,MAOC2104.pdf,00143589.tif,2019,0,0,0,ORIGINAL,10,03,21825,1872,0090024,009,2,332,0,,Y,2,2019-187203
187204,6,25,MA,6,04,6,6,STELLWAGEN BANK,7736,25,1910,2104,0024,15,1,2,1,3,1,1900,4671,9996,2,2,2,12,1,0,0,0,0,0,1,0,6,4216,7017,20,101,58,1,2,1,MAOC2104.pdf,00143591.tif,2019,0,0,0,ORIGINAL,10,03,21825,1872,0090024,009,2,333,1,Q23;,Y,2,2019-187204
187205,6,44,RI,6,05,6,6,STELLWAGEN BANK,7736,25,1915,2104,0024,15,1,2,2,3,1,1910,4671,9996,2,1,4,12,1,0,0,0,0,0,1,0,4,4216,7017,20,110,98,2,2,1,MAOC2104.pdf,00143593.tif,2019,0,1,0,REVISED,10,03,21825,1872,0090024,009,2,331,0,,Y,2,2019-187205
187301,,25,MA,OCTUNAFEST,01,6,6,REGAL SWORD,7765,25,1505,2128,0406,6,1,1,2,3,2,1500,4671,9996,1,1,4,6,1,0,0,0,0,0,1,0,1,9999,9999,25,170,53,1,2,1,MAOC2128.pdf,00143811.tif,2019,0,0,0,ORIGINAL,10,03,21825,1873,0010406,001,2,3,1,tcode;,Y,2,2019-187301
187302,,25,MA,OCTUNAFEST,02,6,6,9,7765,25,1730,2128,0406,6,1,1,2,1,7,1715,4671,9996,1,1,3,12,1,0,0,0,0,0,1,0,3,9999,9999,30,200,60,1,2,1,MAOC2128.pdf,00143813.tif,2019,1,1,0,ORIGINAL,10,03,21825,1873,0010406,001,2,2,1,tcode;,Y,2,2019-187302
187303,,25,MA,OCTUNAFEST,03,6,6,OFF NANTUCKET,7765,25,1745,2128,0406,6,1,1,2,8,6,1735,4671,9996,1,1,4,12,1,0,0,0,0,0,1,0,5,9999,9999,40,190,58,2,2,1,MAOC2128.pdf,00143815.tif,2019,0,1,0,ORIGINAL,10,03,21825,1873,0010406,001,2,4,1,tcode;,N,2,2019-187303
187501,6,36,NY,6,01,6,6,CRAB LEDGE,7466,36,1425,2201,0137,4,1,1,2,3,2,1230,4670,9996,2,2,4,72,1,0,0,1,0,0,0,0,4,4138,6940,8,120,61,1,1,1,NYOC2201.pdf,00143600.tif,2019,1,1,0,ORIGINAL,10,02,21824,1875,1030137,103,4,478,1,Q20;,N,2,2019-187501
