tracker,stcode,control,docno,c_index,cerrflag,cprobfld,faxno,batch,intcode,tifno,cluster,sitetype,q11a,q23,interr,filestat,month,day,year,enterr,site_no,othlp,species,row,kept,observe,alive,dead,sell,weighed,measur,id
702701,36,1201,01,6,0,,158655388,7027,7519,158655389,4,1,3,4,0,ORIGINAL,10,16,2021,0,1030037,STRIPED BASS,4180,1,1,0,0,0,0,0,2,2021-702701
702701,36,1201,01,5,0,,158655388,7027,7519,158655389,4,1,3,4,0,ORIGINAL,10,16,2021,0,1030037,BLACK SEA BASS,3350,2,5,0,0,0,0,0,2,2021-702701
702701,36,1201,01,4,0,,158655388,7027,7519,158655389,4,1,3,4,0,ORIGINAL,10,16,2021,0,1030037,BLUEFISH,230,3,1,0,0,0,0,0,2,2021-702701
702702,36,1201,02,7,0,,158655388,7027,7519,158655390,4,1,2,3,0,ORIGINAL,10,16,2021,0,1030037,ALBACORE TUNA,4701,1,1,0,0,0,0,0,2,2021-702702
702702,36,1201,02,8,0,,158655388,7027,7519,158655390,4,1,2,3,0,ORIGINAL,10,16,2021,0,1030037,YFT,4711,2,1,0,0,0,0,0,2,2021-702702
702703,36,1201,03,10,0,,158655388,7027,7519,158655391,4,1,2,2,0,ORIGINAL,10,16,2021,0,1030085,LITTLE TUNNY,4681,1,0,0,2,0,0,0,2,2021-702703
702703,36,1201,03,9,0,,158655388,7027,7519,158655391,4,1,2,2,0,ORIGINAL,10,16,2021,0,1030085,ATLANTIC MACKEREL,2120,2,0,0,5,0,0,0,2,2021-702703
702705,36,1201,05,12,0,,158655388,7027,7519,158655393,4,1,4,2,0,ORIGINAL,10,16,2021,0,1030085,LITTLE TUNNY,4681,1,0,0,4,0,0,0,2,2021-702705
702705,36,1201,05,11,0,,158655388,7027,7519,158655393,4,1,4,2,0,ORIGINAL,10,16,2021,0,1030085,STRIPED BASS,4180,2,0,0,3,0,0,0,2,2021-702705
702706,36,1201,06,14,0,,158655388,7027,7519,158655394,4,1,4,2,0,ORIGINAL,10,16,2021,0,1030085,STRIPED BASS,4180,1,0,0,10,0,0,0,2,2021-702706
702706,36,1201,06,15,0,,158655388,7027,7519,158655394,4,1,4,2,0,ORIGINAL,10,16,2021,0,1030085,LITTLE TUNNY,4681,2,0,0,3,0,0,0,2,2021-702706
702706,36,1201,06,13,0,,158655388,7027,7519,158655394,4,1,4,2,0,ORIGINAL,10,16,2021,0,1030085,ATLANTIC BONITO,330,3,3,1,0,0,0,0,2,2021-702706
702707,36,1201,07,18,0,,158655388,7027,7519,158655395,4,1,4,2,1,ORIGINAL,10,16,2021,0,1030085,LITTLE TUNNY,4681,1,0,0,1,0,0,0,2,2021-702707
702707,36,1201,07,16,0,,158655388,7027,7519,158655395,4,1,4,2,1,ORIGINAL,10,16,2021,0,1030085,BLUEFISH,230,2,0,0,1,0,0,0,2,2021-702707
702707,36,1201,07,17,1,CAUGHT OUT OF AREA;ALIVE;,158655388,7027,7519,158655395,4,1,4,2,1,ORIGINAL,10,16,2021,0,1030085,CHUB MACKEREL,2150,3,0,0,1,0,0,0,2,2021-702707
702708,36,1201,08,20,0,,158655388,7027,7519,158655396,4,1,4,3,1,ORIGINAL,10,16,2021,0,1030137,ATLANTIC BONITO,330,1,0,0,30,0,0,0,2,2021-702708
702708,36,1201,08,19,0,,158655388,7027,7519,158655396,4,1,4,3,1,ORIGINAL,10,16,2021,0,1030137,BLUEFISH,230,2,0,0,1,0,0,0,2,2021-702708
702708,36,1201,08,21,0,,158655388,7027,7519,158655396,4,1,4,3,1,ORIGINAL,10,16,2021,0,1030137,LITTLE TUNNY,4681,3,0,0,3,0,0,0,2,2021-702708
702709,36,1201,09,25,0,,158655388,7027,7519,158655397,4,1,3,4,1,ORIGINAL,10,16,2021,0,1030137,LITTLE TUNNY,4681,1,0,0,8,0,0,0,2,2021-702709
702709,36,1201,09,22,1,ALIVE;,158655388,7027,7519,158655397,4,1,3,4,1,ORIGINAL,10,16,2021,0,1030137,ATLANTIC BONITO,330,2,1,0,100,0,0,0,2,2021-702709
702709,36,1201,09,24,1,CAUGHT OUT OF AREA;RARE OR ILLEGAL SPECIES KEPT;AL,158655388,7027,7519,158655397,4,1,3,4,1,ORIGINAL,10,16,2021,0,1030137,CHUB MACKEREL,2150,3,1,0,3,0,0,0,2,2021-702709
702709,36,1201,09,23,0,,158655388,7027,7519,158655397,4,1,3,4,1,ORIGINAL,10,16,2021,0,1030137,ATLANTIC MACKEREL,2120,4,6,0,24,0,0,0,2,2021-702709
702710,36,1201,10,27,0,,158655388,7027,7519,158655398,4,1,4,2,1,ORIGINAL,10,16,2021,0,1030137,LITTLE TUNNY,4681,1,0,0,4,0,0,0,2,2021-702710
702710,36,1201,10,26,0,,158655388,7027,7519,158655398,4,1,4,2,1,ORIGINAL,10,16,2021,0,1030137,STRIPED BASS,4180,2,0,0,2,0,0,0,2,2021-702710
702711,36,1201,11,29,0,,158655388,7027,7519,158655399,4,1,4,2,1,ORIGINAL,10,16,2021,0,1030137,LITTLE TUNNY,4681,1,0,0,2,0,0,0,2,2021-702711
702711,36,1201,11,28,0,,158655388,7027,7519,158655399,4,1,4,2,1,ORIGINAL,10,16,2021,0,1030137,ATLANTIC BONITO,330,2,0,0,6,0,0,0,2,2021-702711
702712,36,1201,12,30,0,,158655388,7027,7519,158655400,4,1,2,6,1,ORIGINAL,10,16,2021,0,1030137,SWORDFISH,4328,1,0,0,2,0,0,0,2,2021-702712
