tourn_name,location,id,tracker,intcode,intdate,month,day,year,inttime,stcode,control,docno,county,siteno,site_no,cluster,sitetype,prim_op,todayt,perm_pos,category,perm_ver,cgnbr_pos,strgnbr_pos,ppstate,ppstfips,returnt,prim1,prim2,tourn,tcode,hook,hook_oth,lines,fhours,bt_live,bt_art,bt_dead,fm_troll,fm_chunk,fm_chum,fm_other,fm_other_oth,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,measur,gear,gear_oth,issueddate,CoastNum,StReg,boat,st
BAILEY ISLAND,NEW LEDGE,2002-23-07-14,14,6175,15543,07,22,2002,1335,23,2108,01,005,9032,0059032,1,2,1,2,1,3,6,2,1,ME,23,1530,4679,9996,1,T122,6,6,3,6,0,0,1,0,1,0,0,,2,4410,6913,30,190,60,1,6,1,2,1,6,,,,,
BAILEY ISLAND,CAPE PORPOISE PEAK,2002-23-07-15,15,6175,15543,07,22,2002,1640,23,2108,02,005,9032,0059032,1,4,1,2,1,1,6,1,6,ME,23,1630,4671,9996,1,T122,6,6,4,7,0,1,1,1,0,0,0,,4,4315,7017,7,275,61,1,6,2,2,1,6,,,,,
BAILEY ISLAND,POLLOCK NUBBLE,2002-23-07-17,17,6175,15544,07,23,2002,1910,23,2211,01,005,9008,0059008,3,1,2,2,1,3,6,1,1,ME,23,1900,4671,9996,1,T122,6,6,4,8,1,0,1,0,1,0,0,,4,4330,6955,12,220,,1,6,1,2,1,6,,,,,
BAILEY ISLAND,POLLOCK NUBBLE,2002-23-07-18,18,2749,15545,07,24,2002,1750,23,2117,01,005,9032,0059032,1,4,1,2,1,1,6,1,1,ME,23,1730,4671,9996,1,T122,6,6,4,6,1,0,1,0,0,0,1,STILL,4,4330,6955,10,215,,1,6,1,2,1,6,,,,,
BAILEY ISLAND,TANTAS,2002-23-07-19,19,2749,15545,07,24,2002,1910,23,2117,02,005,9032,0059032,1,4,2,2,1,3,6,1,6,ME,23,1900,4671,9996,1,T122,6,6,4,8,1,0,1,0,1,0,0,,4,4320,7010,17,220,,1,6,1,2,1,6,,,,,
BAILEY ISLAND,TANTAS,2002-23-07-20,20,6175,15546,07,25,2002,1910,23,2214,01,005,9008,0059008,3,1,2,2,1,3,6,1,6,ME,23,1900,4671,9996,1,T122,6,6,4,10,1,0,1,0,1,0,0,,4,4320,7010,17,220,,1,6,1,2,1,6,,,,,
BAILEY ISLAND,JEFFRIES,2002-23-07-21,21,6175,15547,07,26,2002,1605,23,2103,01,005,9008,0059008,3,4,1,2,1,1,6,2,1,ME,23,1800,4671,9996,1,T122,6,6,3,12,1,0,1,0,1,0,0,,3,4310,7005,27,120,62,1,6,1,2,1,6,,,,,
BAILEY ISLAND,TANTAS,2002-23-07-22,22,6175,15547,07,26,2002,1830,23,2103,02,005,9008,0059008,3,1,2,2,1,3,6,1,2,,,1800,4671,9996,1,T122,6,6,3,13,1,0,0,0,1,0,0,,2,4320,7010,12,250,63,1,6,1,2,1,6,,,,,
BAILEY ISLAND,PLLOCK NUBBLE,2002-23-07-23,23,6175,15547,07,26,2002,1935,23,2103,03,005,9008,0059008,3,1,1,2,1,1,6,1,2,ME,23,1930,4671,9996,1,T122,6,6,4,12,1,0,0,0,1,0,0,,3,4330,6955,12,200,63,1,6,1,2,1,6,,,,,
BAILEY ISLAND,TANTAS,2002-23-07-24,24,6175,15547,07,26,2002,1910,23,2103,04,005,9008,0059008,3,1,2,2,1,3,6,1,6,ME,23,1900,4671,9996,1,T122,6,6,4,10,1,0,1,0,1,0,0,,4,4320,7010,17,220,,1,6,1,2,1,6,,,,,
BAILEY ISLAND,JEFFREY'S ELBOW,2002-23-07-25,25,2749,15547,07,26,2002,1530,23,2123,01,005,9011,0059011,2,1,1,2,1,1,6,1,6,ME,23,1500,4671,9996,1,T122,6,6,4,5,1,0,1,0,0,0,1,STILL,4,4310,7005,20,230,62,1,6,1,2,1,6,,,,,
BAILEY ISLAND,POLLOCK NUBBLE,2002-23-07-26,26,2749,15548,07,27,2002,1735,23,1115,01,005,9032,0059032,1,4,1,2,1,1,6,2,1,ME,23,1730,4671,9996,1,T122,6,6,3,7,1,0,0,0,1,0,0,,1,4330,6955,12,200,62,1,6,1,2,1,6,,,,,
BAILEY ISLAND,POLLOCK NUBBLE,2002-23-07-27,27,2749,15548,07,27,2002,1740,23,1115,02,005,9032,0059032,1,2,1,2,1,1,6,1,2,ME,23,1730,4671,9996,1,T122,6,6,4,12,1,0,0,0,1,0,0,,3,4330,6955,12,200,62,1,6,1,2,1,6,,,,,
BAILEY ISLAND,TANTAS,2002-23-07-28,28,2749,15548,07,27,2002,1800,23,1115,03,005,9032,0059032,1,4,1,2,1,3,6,2,1,ME,23,1600,4671,9996,1,T122,6,6,4,11,1,0,1,0,1,0,0,,3,4320,7010,13,120,61,1,6,1,2,1,6,,,,,
BAILEY ISLAND,TANTAS,2002-23-07-29,29,2749,15548,07,27,2002,1910,23,1115,04,005,9013,0059013,1,4,2,2,1,3,6,1,6,ME,23,1900,4671,9996,1,T122,6,6,4,10,1,0,1,0,1,0,0,,4,4320,7010,17,220,,1,6,1,2,1,6,,,,,
6,JEFFRIES,2002-23-07-30,30,6175,15548,07,27,2002,1115,23,1206,01,005,9008,0059008,3,4,1,2,1,1,6,2,1,ME,23,1100,4679,9996,2,6,6,6,3,4,1,0,0,0,1,0,0,,2,4310,7005,12,215,,1,6,1,2,1,6,,,,,
BAILEY ISLAND,SUPERBOWL,2002-23-07-31,31,6175,15548,07,27,2002,1615,23,1202,01,005,9032,0059032,1,4,1,2,1,1,6,1,6,ME,23,1300,4671,9996,1,T122,6,6,4,7,1,0,1,0,1,0,0,,3,,,6,200,62,1,6,1,2,1,6,,,,,
6,PORTLAND LMB,2002-23-07-32,32,2749,15550,07,29,2002,1515,23,2104,01,023,9015,0239015,8,4,1,2,1,1,6,1,6,ME,23,1400,4671,9996,2,6,6,6,2,4,0,0,1,0,0,1,0,,2,,,8,180,,1,6,1,2,1,6,,,,,
6,TANTAS,2002-23-07-33,33,2749,15551,07,30,2002,1655,23,2204,01,023,9015,0239015,8,4,1,2,1,1,6,2,1,ME,23,1645,4671,9996,2,6,6,6,3,6,1,0,1,0,0,1,0,,2,4320,7010,11,220,67,1,6,1,1,1,6,,,,,
6,POLLOCK HUBBLE,2002-23-07-34,34,2749,15551,07,30,2002,1720,23,2204,02,023,9015,0239015,8,4,1,2,1,1,6,2,1,ME,23,1610,4671,9996,2,6,6,6,3,5,1,0,1,0,1,0,0,,1,4330,6955,11,190,,1,6,1,1,1,6,,,,,
6,BALD HEAD,2002-23-07-35,35,2749,15530,07,09,2002,1650,23,2201,01,023,9015,0239015,8,4,1,2,1,1,6,6,6,ME,23,,4671,9996,2,6,6,6,1,8,0,1,0,1,0,0,0,,1,,,3,60,,2,6,1,1,1,6,,,,,
