tracker,stcode,docno,control,c_index,cerrflag,cprobfld,intcode,cluster,sitetype,q23,year,month,day,site_no,enterr,interr,measur,faxno,tifno,filestat,othlp,species,batch,row,kept,observe,alive,dead,sell,weighed,q11a,id
07,09,01,1105,1,0,,7621,3,1,4,2015,07,19,0113879,0,0,2,CTJL1105.pdf,00087311.tif,ORIGINAL,S,3551,0769,1,0,0,6,0,0,0,2,2015-076901
07,09,01,1105,2,0,,7621,3,1,4,2015,07,19,0113879,0,0,2,CTJL1105.pdf,00087311.tif,ORIGINAL,B,4931,0769,2,0,0,6,0,0,0,2,2015-076901
07,09,02,1105,3,0,,7621,3,1,4,2015,07,19,0110630,0,0,2,CTJL1105.pdf,00087313.tif,ORIGINAL,S,3551,0769,2,0,0,1,0,0,0,2,2015-076902
07,09,02,1105,4,0,,7621,3,1,4,2015,07,19,0110630,0,0,2,CTJL1105.pdf,00087313.tif,ORIGINAL,B,4931,0769,1,0,0,5,0,0,0,2,2015-076902
04,09,01,1106,5,0,,7621,3,1,4,2015,07,11,0110833,0,0,1,CTJL1106.pdf,00085101.tif,ORIGINAL,S,3551,0489,1,1,1,1,0,0,0,2,2015-048901
04,09,02,1106,6,0,,7621,3,1,4,2015,07,11,0110630,0,0,2,CTJL1106.pdf,00085103.tif,ORIGINAL,S,3551,0489,2,0,0,1,0,0,0,2,2015-048902
04,09,02,1106,7,0,,7621,3,1,4,2015,07,11,0110630,0,0,2,CTJL1106.pdf,00085103.tif,ORIGINAL,B,4931,0489,1,0,0,3,0,0,0,2,2015-048902
04,09,04,1106,8,0,,7621,3,1,2,2015,07,11,0113879,0,0,2,CTJL1106.pdf,00085106.tif,ORIGINAL,B,4678,0489,1,1,0,0,0,0,0,2,2015-048904
04,09,05,1106,9,0,,7621,3,1,5,2015,07,11,0113879,0,0,2,CTJL1106.pdf,00085108.tif,ORIGINAL,B,4931,0489,1,0,0,3,0,0,0,2,2015-048905
04,09,06,1106,10,0,,7621,3,1,4,2015,07,11,0110630,1,0,2,CTJL1106.pdf,00085110.tif,ORIGINAL,B,4931,0489,1,0,0,11,0,0,0,2,2015-048906
04,09,07,1106,11,0,,7621,3,1,5,2015,07,11,0110630,0,0,1,CTJL1106.pdf,00085112.tif,ORIGINAL,D,1050,0489,2,12,12,0,0,0,0,2,2015-048907
04,09,07,1106,12,0,,7621,3,1,5,2015,07,11,0110630,0,0,1,CTJL1106.pdf,00085112.tif,ORIGINAL,W,2161,0489,3,0,0,1,0,0,0,2,2015-048907
04,09,07,1106,13,0,,7621,3,1,5,2015,07,11,0110630,0,0,1,CTJL1106.pdf,00085112.tif,ORIGINAL,B,4691,0489,1,1,1,0,0,0,0,2,2015-048907
04,09,08,1106,14,0,,7621,3,1,3,2015,07,11,0110630,0,0,1,CTJL1106.pdf,00085114.tif,ORIGINAL,D,1050,0489,3,18,17,0,0,0,0,2,2015-048908
04,09,08,1106,15,0,,7621,3,1,3,2015,07,11,0110630,0,0,1,CTJL1106.pdf,00085114.tif,ORIGINAL,Y,4711,0489,1,2,2,0,0,0,0,2,2015-048908
03,09,01,1107,16,0,,7621,3,1,2,2015,07,05,0113234,0,0,1,CTJL1107.pdf,00084448.tif,ORIGINAL,C,3531,0381,1,1,1,0,0,0,0,3,2015-038101
05,09,01,1112,17,0,,7619,3,1,5,2015,07,12,0110833,0,0,2,CTJL1112.pdf,00085886.tif,ORIGINAL,B,4677,0579,1,1,1,2,0,0,0,2,2015-057901
05,09,02,1112,18,0,,7619,3,1,2,2015,07,12,0110833,0,0,2,CTJL1112.pdf,00085888.tif,ORIGINAL,D,1050,0579,2,6,6,0,0,0,0,2,2015-057902
05,09,02,1112,19,0,,7619,3,1,2,2015,07,12,0110833,0,0,2,CTJL1112.pdf,00085888.tif,ORIGINAL,B,4677,0579,1,1,1,0,0,0,0,2,2015-057902
05,09,03,1112,20,0,,7619,3,1,5,2015,07,12,0110630,0,0,2,CTJL1112.pdf,00085890.tif,ORIGINAL,S,3551,0579,1,1,1,0,0,0,0,3,2015-057903
05,09,01,2107,21,0,,7619,3,2,5,2015,07,03,0113879,1,0,2,CTJL2107.pdf,00085961.tif,ORIGINAL,S,3551,0576,1,1,1,0,0,0,0,2,2015-057601
