tracker,upprbill,lowerjaw,length,gender,curve,intcode,cluster,sitetype,year,month,day,site_no,enterr,interr,stcode,docno,control,measur,faxno,tifno,filestat,species,batch,prep,recno,s_index,serrflag,sprobfld,id
09,9996,9996,508,6,9996,7489,3,1,2013,08,11,8100088,0,1,51,09,1209,1,vaau1209.tif,00065067.tif,ORIGINAL,330,0946,0,5,1,0,,2013-094609
09,9996,9996,442,1,9996,6555,7,1,2013,08,11,0470938,0,1,24,04,1107,1,mdau1107.tif,00064770.tif,ORIGINAL,1050,0914,0,1,19,0,,2013-091404
09,9996,9996,444,2,9996,6593,3,1,2013,08,16,0110833,0,0,09,01,2103,1,ctau2103.tif,00065396.tif,ORIGINAL,1050,0992,0,3,4,0,,2013-099201
11,9996,9996,461,8,9996,6783,3,1,2013,08,23,0470853,0,0,24,02,2205,1,mdau2205.tif,00066157.tif,ORIGINAL,1050,1113,0,3,31,0,,2013-111302
10,9996,9996,471,2,9996,6936,5,1,2013,08,20,0471493,0,0,24,01,2106,1,mdau2106.tif,00065752.tif,ORIGINAL,1050,1060,0,2,49,0,,2013-106001
11,9996,9996,476,8,9996,6783,3,1,2013,08,23,0470853,0,0,24,04,2205,1,mdau2205.tif,00066161.tif,ORIGINAL,1050,1113,0,2,32,0,,2013-111304
09,9996,9996,477,2,9996,6593,15,1,2013,08,07,0090451,0,1,44,13,2213,1,riau2213.tif,00065280.tif,ORIGINAL,1050,0942,0,3,99,0,,2013-094213
09,9996,9996,490,8,9996,6416,10,1,2013,08,11,0290279,0,0,34,01,1207,1,njau1207.tif,00065342.tif,ORIGINAL,1050,0989,0,1,60,0,,2013-098901
09,9996,9996,499,2,9996,6555,7,1,2013,08,11,0479008,0,0,24,05,1107,1,mdau1107.tif,00064772.tif,ORIGINAL,1050,0914,0,2,25,0,,2013-091405
09,9996,9996,504,2,9996,7409,10,1,2013,08,15,0299009,0,0,34,02,2205,1,njau2205.tif,00065219.tif,ORIGINAL,1050,0978,0,1,66,0,,2013-097802
08,9996,9996,507,8,9996,6478,2,1,2013,08,02,0051599,0,0,10,02,2101,1,deau2101.tif,00064113.tif,ORIGINAL,1050,0816,0,5,10,0,,2013-081602
11,9996,9996,508,1,9996,7489,1,1,2013,08,28,8100002,0,0,51,01,2103,1,vaau2103.tif,00066586.tif,ORIGINAL,1050,1189,0,9,156,0,,2013-118901
10,9996,9996,510,1,9996,6936,5,1,2013,08,20,0471493,0,0,24,01,2106,1,mdau2106.tif,00065752.tif,ORIGINAL,1050,1060,0,8,55,0,,2013-106001
08,9996,9996,512,8,9996,6478,2,1,2013,08,02,0051599,0,0,10,02,2101,1,deau2101.tif,00064113.tif,ORIGINAL,1050,0816,0,2,7,0,,2013-081602
09,9996,9996,517,2,9996,6555,7,1,2013,08,11,0470938,0,1,24,04,1107,1,mdau1107.tif,00064770.tif,ORIGINAL,1050,0914,0,5,23,0,,2013-091404
09,9996,9996,528,2,9996,6593,11,1,2013,08,11,0090414,0,0,44,01,1204,1,riau1204.tif,00065000.tif,ORIGINAL,1050,0940,0,6,92,0,,2013-094001
09,9996,9996,529,2,9996,6555,7,1,2013,08,11,0470938,0,1,24,04,1107,1,mdau1107.tif,00064770.tif,ORIGINAL,1050,0914,0,4,22,0,,2013-091404
09,9996,9996,536,8,9996,6633,3,1,2013,08,10,8100088,0,0,51,02,1207,1,vaau1207.tif,00065027.tif,ORIGINAL,1050,0945,0,4,107,0,,2013-094502
09,9996,9996,536,2,9996,7415,1,1,2013,08,10,8100002,0,0,51,02,1103,1,vaau1103.tif,00064950.tif,ORIGINAL,1050,0930,0,1,122,0,,2013-093002
10,9996,9996,544,2,9996,6936,5,1,2013,08,20,0471493,0,0,24,01,2106,1,mdau2106.tif,00065752.tif,ORIGINAL,1050,1060,0,1,48,0,,2013-106001
10,9996,9996,549,2,9996,2836,3,1,2013,08,17,8100088,0,0,51,01,1210,1,vaau1210.tif,00065801.tif,ORIGINAL,1050,1065,0,2,102,0,,2013-106501
08,9996,9996,556,2,9996,6936,3,1,2013,08,03,0470853,0,0,24,10,1202,1,mdau1202.tif,00064589.tif,ORIGINAL,1050,0824,0,1,34,0,,2013-082410
08,9996,9996,558,2,9996,6936,3,1,2013,08,03,0470853,0,0,24,04,1202,1,mdau1202.tif,00064579.tif,ORIGINAL,1050,0824,0,2,33,0,,2013-082404
