tracker,tcode,ppstfips,ppstate,tourn_name,docno,hook_oth,fm_other_oth,location,intcode,stcode,inttime,control,siteno,cluster,sitetype,prim_op,todayt,category,perm_ver,returnt,prim1,prim2,tourn,hook,lines,fhours,bt_live,bt_dead,bt_art,fm_troll,fm_chum,fm_chunk,fm_live,fm_other,party,latddmm,londdmm,miles,depth,sst,contact,proxy,catch,faxno,tifno,year,enterr,interr,permismt,filestat,month,day,intdate,batch,site_no,county,mstarea,m_index,merrflag,mprobfld,onlist,measur,id
233801,6,09,CT,6,01,6,CASTING,PLUM GUT,6773,09,1610,1104,0825,2,3,1,2,4,6,1600,4681,330,2,2,2,1,0,0,1,0,0,0,0,1,2,4110,7213,1,80,68,1,2,2,CTOC1104.pdf,00157928.tif,2020,0,1,0,ORIGINAL,10,03,22191,2338,0070825,007,3,106,0,,N,2,2020-233801
233901,6,09,CT,6,01,6,6,W ATLANTIS,7837,09,1522,1105,0833,3,1,1,2,2,1,1510,4711,1050,2,12,5,30,1,1,1,1,1,1,1,0,3,3952,7012,997,3200,77,1,2,1,CTOC1105.pdf,00157933.tif,2020,0,1,0,ORIGINAL,10,04,22192,2339,0110833,011,3,107,1,Q27;,Y,2,2020-233901
234401,6,10,DE,6,01,6,6,BALTIMORE CANYON,6447,10,1627,2101,1599,2,1,2,2,3,1,1615,4656,9996,2,2,6,8,0,1,1,1,0,1,0,0,3,3814,7350,65,600,67,1,2,1,DEOC2101.pdf,00158009.tif,2020,0,0,0,ORIGINAL,10,06,22194,2344,0051599,005,6,114,0,,Y,2,2020-234401
234402,6,10,DE,6,02,6,6,WILMINGTON CANYON,6447,10,1636,2101,1599,2,1,1,2,2,1,1630,4656,9996,2,1,10,10,0,1,1,1,0,0,0,0,2,3824,7327,55,180,68,1,2,1,DEOC2101.pdf,00158011.tif,2020,0,0,0,ORIGINAL,10,06,22194,2344,0051599,005,6,112,0,,Y,2,2020-234402
234403,6,10,DE,6,03,6,6,WILMINGTON CANYON,6447,10,1841,2101,1599,2,1,2,1,3,1,1830,4711,9996,2,2,11,8,0,1,1,1,0,0,0,0,4,3824,7327,70,720,67,1,2,1,DEOC2101.pdf,00158013.tif,2020,0,0,0,ORIGINAL,10,06,22194,2344,0051599,005,6,113,0,,Y,2,2020-234403
234901,6,25,MA,6,01,6,6,OFF WELLFLEET,7674,25,1400,1102,0340,10,2,2,1,3,1,1350,4671,9996,2,2,2,7,1,0,0,0,0,0,1,0,5,9998,9998,6,120,98,1,1,1,MAOC1102.pdf,00158026.tif,2020,0,0,0,ORIGINAL,10,04,22192,2349,0010340,001,2,159,0,,Y,2,2020-234901
234902,6,25,MA,6,02,6,6,P TOWN,7674,25,1500,1102,0710,10,1,2,2,3,1,1430,4671,4679,2,1,2,2,0,0,1,1,0,0,0,0,2,9998,9998,2,60,98,1,1,2,MAOC1102.pdf,00158028.tif,2020,0,0,0,ORIGINAL,10,04,22192,2349,0010710,001,2,162,0,,Y,2,2020-234902
234903,6,25,MA,6,03,6,JIGGING,OFF ORLEANS,7674,25,1630,1102,0922,10,1,1,2,2,1,1600,4678,9996,2,1,3,10,0,0,1,1,0,0,0,1,5,9998,9998,5,120,98,1,2,1,MAOC1102.pdf,00158029.tif,2020,0,1,0,ORIGINAL,10,04,22192,2349,0010922,001,2,161,0,,Y,2,2020-234903
234904,6,25,MA,6,04,6,6,OFF NANTUCKET,7674,25,1650,1102,0922,10,1,1,2,2,7,1645,4676,9996,2,1,2,6,1,0,0,0,0,0,1,0,3,9998,9998,5,106,60,1,1,1,MAOC1102.pdf,00158031.tif,2020,0,1,0,ORIGINAL,10,04,22192,2349,0010922,001,2,164,0,,N,2,2020-234904
234905,6,25,MA,6,05,6,6,NAUSET,7674,25,1700,1102,0922,10,1,1,2,3,6,1650,4656,9996,2,1,2,6,1,0,0,0,0,0,1,0,4,9998,9998,3,120,61,1,2,1,MAOC1102.pdf,00158033.tif,2020,0,0,0,ORIGINAL,10,04,22192,2349,0010922,001,2,163,0,,N,2,2020-234905
234906,6,25,MA,6,06,6,6,NAUSET BEACH,7674,25,1720,1102,0922,10,1,2,1,3,1,1650,4671,4679,2,2,3,10,1,0,0,0,0,0,1,0,2,9998,9998,5,150,61,1,2,1,MAOC1102.pdf,00158035.tif,2020,0,0,0,ORIGINAL,10,04,22192,2349,0010922,001,2,160,0,,Y,1,2020-234906
235001,6,25,MA,6,01,6,DRIFTING,CAPE COD BAY N,7822,25,1535,1116,0279,18,3,2,1,3,6,1530,4676,9996,2,2,3,8,1,0,0,0,0,0,0,1,4,4200,7020,4,160,60,1,2,1,MAOC1116.pdf,00158039.tif,2020,0,1,0,ORIGINAL,10,03,22191,2350,0010279,001,2,191,0,,Y,2,2020-235001
235002,6,25,MA,6,02,6,DRIFTING,PEAKED HILL,7822,25,1537,1116,0279,18,3,2,2,3,1,1530,4671,9996,2,1,3,8,1,0,0,0,0,0,0,1,2,4205,7008,6,160,58,1,2,1,MAOC1116.pdf,00158041.tif,2020,0,0,0,ORIGINAL,10,03,22191,2350,0010279,001,2,194,0,,Y,2,2020-235002
235003,6,25,MA,6,03,TREBLE HOOK,DRIFTING,CAPE COD BAY N,7822,25,1540,1116,0279,18,3,1,2,2,1,1532,330,9996,2,3,2,6,0,0,1,0,0,0,0,1,4,4200,7020,1,20,63,1,2,1,MAOC1116.pdf,00158043.tif,2020,0,1,0,ORIGINAL,10,03,22191,2350,0010279,001,2,192,1,Q26;,Y,2,2020-235003
235004,6,09,CT,6,04,6,ANCHORED,CAPE COD BAY N,7822,25,1635,1116,0279,18,3,1,2,2,1,1630,4671,9996,2,1,2,6,1,0,0,1,0,0,0,1,3,4200,7020,8,145,58,1,2,1,MAOC1116.pdf,00158045.tif,2020,0,0,0,ORIGINAL,10,03,22191,2350,0010279,001,2,195,0,,Y,2,2020-235004
235005,6,25,MA,6,05,6,DRIFTING,CAPE COD BAY N,7822,25,1705,1116,0279,18,3,1,2,3,2,1700,4676,9996,2,1,1,10,1,0,0,0,0,0,0,1,2,4200,7020,10,150,62,1,2,1,MAOC1116.pdf,00158047.tif,2020,0,0,0,ORIGINAL,10,03,22191,2350,0010279,001,2,193,0,,Y,2,2020-235005
235101,6,25,MA,6,01,6,6,INNER HILL,7857,25,1630,1117,0685,19,1,2,1,3,1,1627,4671,9996,2,2,1,1,1,0,0,0,0,0,1,0,2,4246,7014,12,190,63,1,1,1,MAOC1117.pdf,00158159.tif,2020,1,1,0,ORIGINAL,10,03,22191,2351,0090685,009,2,196,0,,Y,2,2020-235101
235102,6,25,MA,6,02,6,6,OUTTER FLAG,7857,25,1706,1117,0685,19,1,2,1,3,1,1655,4671,9996,2,12,3,9,1,0,0,0,0,0,1,0,7,4252,7029,9,200,62,1,2,1,MAOC1117.pdf,00158161.tif,2020,0,0,0,ORIGINAL,10,03,22191,2351,0090685,009,2,198,1,Q23;,Y,2,2020-235102
235103,6,25,MA,6,03,6,6,JEFFREYS LEDGE,7857,25,1725,1117,0685,19,1,1,2,1,1,1722,4671,9996,2,2,3,8,1,1,0,0,0,1,1,0,1,4255,7010,10,180,62,1,2,1,MAOC1117.pdf,00158163.tif,2020,0,0,0,ORIGINAL,10,03,22191,2351,0090685,009,2,197,0,,Y,2,2020-235103
235201,1251,25,MA,HYANNIS TUNAFEST,01,6,6,CRAB LEDGE,7633,25,1700,1119,0024,15,1,1,2,1,1,1645,4671,9996,1,1,4,20,1,1,1,1,0,0,1,0,3,4138,6940,997,135,56,1,1,1,MAOC1119.pdf,00158051.tif,2020,0,1,0,REVISED,10,04,22192,2352,0090024,009,2,27,0,,Y,2,2020-235201
