id,tracker,year,month,stcode,control,docno,species,length,curve,upprbill,lowerjaw,gender,prep
2008-000201,000201,2008,06,10,1101,01,3551,1712,9996,9996,9996,1,0
2008-000901,000901,2008,06,51,1202,01,4711,853,9997,9996,9996,6,0
2008-000901,000901,2008,06,51,1202,01,4711,880,9997,9996,9996,6,0
2008-000902,000902,2008,06,51,1202,02,4711,823,9997,9996,9996,6,0
2008-001502,001502,2008,06,24,2201,02,3551,1608,9996,9996,9996,2,0
2008-003703,003703,2008,06,10,1105,03,3531,1912,9996,9996,9996,2,0
2008-003802,003802,2008,06,25,1106,02,4676,1580,1624,9996,9996,6,0
2008-004202,004202,2008,06,24,1102,02,3551,1580,9996,9996,9996,1,0
2008-004207,004207,2008,06,24,1102,07,3551,1628,9996,9996,9996,1,0
2008-004210,004210,2008,06,24,1102,10,4677,979,1010,9996,9996,6,0
2008-005301,005301,2008,06,51,1105,01,3551,1682,9996,9996,9996,2,0
2008-006302,006302,2008,06,51,1107,02,4711,703,731,9996,9996,6,0
2008-006302,006302,2008,06,51,1107,02,4711,719,9997,9996,9996,6,0
2008-006302,006302,2008,06,51,1107,02,4711,920,9997,9996,9996,6,0
2008-006302,006302,2008,06,51,1107,02,4711,1220,1251,9996,9996,6,0
2008-006901,006901,2008,06,24,1101,01,3551,1721,9996,9996,9996,1,0
2008-007002,007002,2008,06,34,2101,02,3551,1820,9996,9996,9996,2,0
2008-007201,007201,2008,06,51,1102,01,1050,685,9996,9996,9996,1,0
2008-007202,007202,2008,06,51,1102,02,1050,711,9996,9996,9996,1,0
2008-007202,007202,2008,06,51,1102,02,1050,762,9996,9996,9996,1,0
2008-007202,007202,2008,06,51,1102,02,1050,863,9996,9996,9996,1,0
2008-007202,007202,2008,06,51,1102,02,4711,901,9997,9996,9996,6,0
2008-007403,007403,2008,06,24,2202,03,4677,960,974,9996,9996,6,0
2008-007403,007403,2008,06,24,2202,03,4711,1073,1194,9996,9996,6,0
2008-007403,007403,2008,06,24,2202,03,4711,1161,1287,9996,9996,6,0
2008-009001,009001,2008,06,51,2202,01,1050,1022,9996,9996,9996,1,0
2008-009105,009105,2008,06,10,2204,05,1050,1052,9996,9996,9996,1,0
2008-009105,009105,2008,06,10,2204,05,4677,784,804,9996,9996,6,0
2008-009105,009105,2008,06,10,2204,05,4711,1042,1057,9996,9996,6,0
2008-009105,009105,2008,06,10,2204,05,4711,1046,1059,9996,9996,6,0
2008-009805,009805,2008,06,10,1106,05,3551,1982,9996,9996,9996,2,0
2008-009806,009806,2008,06,10,1106,06,4711,1090,1111,9996,9996,6,0
2008-009807,009807,2008,06,10,1106,07,3551,1454,9996,9996,9996,1,0
2008-009901,009901,2008,06,10,1107,01,4678,1357,1362,9996,9996,6,0
2008-010401,010401,2008,06,25,2101,01,4678,1194,9997,9996,9996,6,0
2008-011203,011203,2008,06,24,1107,03,4677,781,797,9996,9996,6,0
2008-011504,011504,2008,06,24,1110,04,4677,790,825,9996,9996,6,0
2008-012203,012203,2008,06,51,1103,03,4677,1067,9997,9996,9996,6,0
2008-012501,012501,2008,06,51,1201,01,1050,1044,9996,9996,9996,1,0
2008-012501,012501,2008,06,51,1201,01,1050,1196,9996,9996,9996,1,0
2008-012501,012501,2008,06,51,1201,01,1050,713,9996,9996,9996,2,0
2008-012501,012501,2008,06,51,1201,01,4711,1070,1083,9996,9996,6,0
2008-012502,012502,2008,06,51,1201,02,1050,1054,9996,9996,9996,1,0
2008-012503,012503,2008,06,51,1201,03,1050,1170,9996,9996,9996,1,0
2008-012503,012503,2008,06,51,1201,03,1050,819,9996,9996,9996,2,0
2008-012510,012510,2008,06,51,1201,10,4681,690,9996,9996,9996,6,0
2008-012603,012603,2008,06,51,1203,03,1050,998,9996,9996,9996,1,0
2008-012603,012603,2008,06,51,1203,03,1050,859,9996,9996,9996,2,0
2008-012603,012603,2008,06,51,1203,03,1050,886,9996,9996,9996,2,0
2008-013002,013002,2008,06,24,2103,02,4677,832,839,9996,9996,6,0
2008-013601,013601,2008,06,10,2108,01,1050,817,9996,9996,9996,2,0
2008-013601,013601,2008,06,10,2108,01,4711,775,786,9996,9996,6,0
2008-013601,013601,2008,06,10,2108,01,4711,782,787,9996,9996,6,0
2008-013601,013601,2008,06,10,2108,01,4711,910,928,9996,9996,6,0
2008-013601,013601,2008,06,10,2108,01,4711,1105,1122,9996,9996,6,0
2008-014102,014102,2008,06,36,2209,02,3551,2065,9996,9996,9996,2,0
2008-014106,014106,2008,06,36,2209,06,4931,2512,9996,9996,9996,1,0
2008-014107,014107,2008,06,36,2209,07,3551,2042,9996,9996,9996,1,0
2008-014129,014129,2008,06,36,2209,29,3551,1960,9996,9996,9996,1,0
2008-014132,014132,2008,06,36,2209,32,4931,2364,9996,9996,9996,1,0
2008-014133,014133,2008,06,36,2209,33,3551,1697,9996,9996,9996,1,0
2008-014134,014134,2008,06,36,2209,34,4931,2365,9996,9996,9996,1,0
2008-014135,014135,2008,06,36,2209,35,4931,2090,9996,9996,9996,1,0
2008-014136,014136,2008,06,36,2209,36,3531,2113,9996,9996,9996,1,0
2008-014140,014140,2008,06,36,2209,40,4661,430,460,9996,9996,6,0
2008-014155,014155,2008,06,36,2209,55,3551,2141,9996,9996,9996,2,0
2008-014517,014517,2008,06,34,2108,17,3531,2401,9996,9996,9996,2,0
2008-014518,014518,2008,06,34,2108,18,3551,1725,9996,9996,9996,1,0
2008-014520,014520,2008,06,34,2108,20,3551,1717,9996,9996,9996,2,0
2008-014523,014523,2008,06,34,2108,23,3551,1825,9996,9996,9996,1,0
2008-014527,014527,2008,06,34,2108,27,4821,1475,9996,9996,9996,2,0
2008-014801,014801,2008,06,36,2114,01,3551,2401,9996,9996,9996,2,0
2008-014804,014804,2008,06,36,2114,04,3551,1406,9996,9996,9996,2,0
2008-015202,015202,2008,06,25,2115,02,4678,1201,1228,9996,9996,6,0
2008-015802,015802,2008,06,25,1204,02,4678,1321,1372,9996,9996,6,0
2008-016201,016201,2008,06,24,1201,01,3551,1551,9996,9996,9996,2,0
2008-016201,016201,2008,06,24,1201,01,4677,779,784,9996,9996,6,0
2008-016203,016203,2008,06,24,1201,03,4677,790,796,9996,9996,6,0
2008-016204,016204,2008,06,24,1201,04,4677,844,849,9996,9996,6,0
2008-016204,016204,2008,06,24,1201,04,4678,1326,1334,9996,9996,6,0
2008-016206,016206,2008,06,24,1201,06,4677,893,899,9996,9996,6,0
2008-016533,016533,2008,06,34,1206,33,4951,2408,9996,9996,9996,2,0
2008-016601,016601,2008,06,34,2111,01,4711,820,9997,9996,9996,6,0
2008-016601,016601,2008,06,34,2111,01,4711,950,9997,9996,9996,6,0
2008-017302,017302,2008,06,51,1112,02,4678,1248,1311,9996,9996,6,0
2008-017303,017303,2008,06,51,1112,03,1050,1014,9996,9996,9996,1,0
2008-017303,017303,2008,06,51,1112,03,1050,1040,9996,9996,9996,1,0
2008-017303,017303,2008,06,51,1112,03,1050,811,9996,9996,9996,2,0
2008-017303,017303,2008,06,51,1112,03,1050,905,9996,9996,9996,2,0
2008-017303,017303,2008,06,51,1112,03,4677,992,1015,9996,9996,6,0
2008-017304,017304,2008,06,51,1112,04,4677,1002,1059,9996,9996,6,0
2008-017305,017305,2008,06,51,1112,05,1050,710,9996,9996,9996,1,0
2008-017305,017305,2008,06,51,1112,05,1050,893,9996,9996,9996,1,0
2008-017305,017305,2008,06,51,1112,05,4678,1225,1265,9996,9996,6,0
2008-017307,017307,2008,06,51,1112,07,1050,975,9996,9996,9996,1,0
2008-017307,017307,2008,06,51,1112,07,1050,522,9996,9996,9996,2,0
2008-017307,017307,2008,06,51,1112,07,1050,635,9996,9996,9996,2,0
2008-017307,017307,2008,06,51,1112,07,3551,1535,9996,9996,9996,1,0
2008-017309,017309,2008,06,51,1112,09,30,690,9996,9996,9996,6,0
2008-017309,017309,2008,06,51,1112,09,30,749,9996,9996,9996,6,0
2008-017309,017309,2008,06,51,1112,09,1050,725,9996,9996,9996,1,0
2008-017309,017309,2008,06,51,1112,09,1050,762,9996,9996,9996,1,0
2008-017310,017310,2008,06,51,1112,10,1050,752,9996,9996,9996,1,0
2008-017310,017310,2008,06,51,1112,10,1050,610,9996,9996,9996,2,0
2008-017311,017311,2008,06,51,1112,11,230,692,9996,9996,9996,6,0
2008-017311,017311,2008,06,51,1112,11,230,694,9996,9996,9996,6,0
2008-017311,017311,2008,06,51,1112,11,230,700,9996,9996,9996,6,0
2008-017311,017311,2008,06,51,1112,11,1050,720,9996,9996,9996,1,0
2008-017311,017311,2008,06,51,1112,11,1050,911,9996,9996,9996,1,0
2008-017312,017312,2008,06,51,1112,12,1050,583,9996,9996,9996,1,0
2008-017312,017312,2008,06,51,1112,12,1050,540,9996,9996,9996,2,0
2008-017313,017313,2008,06,51,1112,13,1050,874,9996,9996,9996,1,0
2008-017313,017313,2008,06,51,1112,13,1050,894,9996,9996,9996,1,0
2008-017313,017313,2008,06,51,1112,13,1050,520,9996,9996,9996,2,0
2008-017315,017315,2008,06,51,1112,15,1050,905,9996,9996,9996,1,0
2008-017315,017315,2008,06,51,1112,15,1050,983,9996,9996,9996,1,0
2008-017315,017315,2008,06,51,1112,15,1050,1000,9996,9996,9996,1,0
2008-017315,017315,2008,06,51,1112,15,1050,1038,9996,9996,9996,1,0
2008-017701,017701,2008,06,51,1207,01,4677,1138,1262,9996,9996,6,0
2008-017701,017701,2008,06,51,1207,01,4678,1281,1402,9996,9996,6,0
2008-017702,017702,2008,06,51,1207,02,4677,1001,1012,9996,9996,6,0
2008-017702,017702,2008,06,51,1207,02,4678,1205,1227,9996,9996,6,0
2008-017703,017703,2008,06,51,1207,03,4677,1002,1030,9996,9996,6,0
2008-017902,017902,2008,06,51,2209,02,30,801,9996,9996,9996,6,0
2008-017902,017902,2008,06,51,2209,02,30,807,9996,9996,9996,6,0
2008-017902,017902,2008,06,51,2209,02,30,825,9996,9996,9996,6,0
2008-017902,017902,2008,06,51,2209,02,1050,603,9996,9996,9996,1,0
